X[m],Y[m],Z[m],Magnitude
-769.3778227,1328.036734,-2382,-0.26
134.6639385,1753.209707,-2322,-0.35
-215.3415399,1717.180567,-2276,-0.27
-160.345537,1663.167947,-2307,-0.19
141.6626146,1736.205215,-2311,-0.28
-147.3437292,1684.174709,-2299,-0.05
-184.3508537,1600.148458,-2294,-0.18
-71.33690548,1761.200983,-2303,-0.3
-53.33198028,1820.218922,-2322,-0.29
-58.33250354,1814.21693,-2288,-0.3
-56.33257055,1813.216748,-2297,-0.26
281.7095487,2306.375317,-2231,-0.27
-41.33043253,1838.224736,-2294,-0.27
-176.3488361,1624.155823,-2321,-0.2
-134.3850101,1176.02895,-2316,-0.27
279.7089727,2299.373221,-2260,-0.3
-195.3502846,1608.150167,-2343,-0.32
-132.3840157,1188.032525,-2333,-0.29
291.710173,2313.377807,-2320,-0.28
133.6966825,2158.325625,-2351,-0.29
135.6950781,2138.319999,-2319,-0.29
-200.3529332,1576.140651,-2306,-0.29
149.6548313,1639.177882,-2302,-0.31
142.6987611,2183.333237,-2335,-0.36
-204.3562276,1536.128878,-2336,-0.31
-158.3494339,1615.154208,-2269,-0.31
137.653124,1619.171503,-2315,-0.29
-113.3386749,1743.193549,-2276,-0.32
294.7107548,2320.379951,-2277,-0.24
-122.3420785,1702.181249,-2235,-0.1
-55.33288851,1809.21565,-2309,-0.27
-132.3431295,1690.17725,-2280,-0.22
-60.33333062,1804.213946,-2318,-0.27
-64.33449731,1790.209704,-2323,-0.27
-134.3402123,1726.187522,-2327,-0.34
136.6537634,1627.173739,-2339,-0.3
-42.32857101,1861.231299,-2299,-0.05
-68.33525774,1781.2069,-2282,0.02
-69.33648448,1766.202529,-2248,-0.2
-63.3355469,1777.206016,-2319,-0.19
382.6546467,1615.183718,-2329,-0.26
-140.3461211,1654.166436,-2243,-0.48
96.6408333,1471.126852,-2297,-0.46
-136.3425075,1698.17934,-2326,-0.49
-153.3467071,1648.164,-2262,-0.44
-160.3488785,1622.156118,-2240,-0.49
-163.3496347,1613.153358,-2282,-0.4
-153.3458108,1659.167173,-2246,-0.46
302.7128961,2346.387758,-2294,-0.48
298.7127111,2344.386991,-2316,-0.49
-115.3825692,1204.038118,-2346,-0.44
109.6489475,1570.155938,-2383,-0.47
-189.3499944,1611.151361,-2312,-0.38
381.6531125,1596.178258,-2325,-0.45
-170.3507474,1600.149224,-2273,-0.43
-117.3488799,1618.15731,-2334,-0.38
-114.3386007,1744.193784,-2260,-0.42
-168.3477976,1636.159722,-2312,-0.4
-728.3812089,1283.025889,-2358,-0.37
311.7143181,2363.393046,-2289,-0.47
-199.3530071,1575.140417,-2303,-0.45
-186.3518475,1588.144884,-2288,-0.46
377.6534036,1600.179178,-2305,-0.47
-233.3450199,1676.167746,-2270,-0.45
390.6578399,1654.195246,-2248,-0.47
-115.3489462,1617.157131,-2331,-0.4
-178.3477912,1637.159466,-2331,-0.4
-165.350465,1603.150363,-2244,-0.4
-109.3480056,1628.160628,-2330,-0.39
-152.3500405,1607.152227,-2251,-0.4
-153.3490702,1619.155634,-2287,-0.43
-156.3481964,1630.158644,-2279,-0.41
-215.3377857,1763.193858,-2278,-0.44
279.7092143,2302.374077,-2249,-0.37
-107.3482347,1625.159872,-2301,-0.33
-239.3440028,1689.17118,-2265,-0.43
-242.3441883,1687.17044,-2271,-0.43
-107.3483975,1623.159296,-2302,-0.32
-161.3505161,1602.150293,-2236,-0.42
276.7079878,2287.369649,-2229,-0.39
285.708526,2293.371806,-2281,-0.39
-152.3405885,1723.185689,-2278,-0.43
-148.34724,1641.162252,-2261,-0.44
278.7090471,2300.373457,-2260,-0.42
-117.3488799,1618.15731,-2333,-0.35
-229.344337,1684.170275,-2244,-0.4
-233.3437134,1692.172371,-2223,-0.39
-130.3426261,1696.179088,-2239,-0.36
-147.3484546,1626.157981,-2257,-0.35
-140.3444105,1675.172492,-2283,-0.38
-150.3486402,1624.15724,-2254,-0.41
-147.347151,1642.162595,-2261,-0.38
-157.3486929,1624.156859,-2315,-0.45
-224.3438917,1689.171991,-2212,-0.4
-151.3469366,1645.163243,-2274,-0.34
-160.3488785,1622.156118,-2239,-0.34
-160.3488785,1622.156118,-2239,-0.37
-154.3480999,1631.159041,-2278,-0.41
-139.3455434,1661.168509,-2230,-0.43
-147.3485361,1625.157692,-2245,-0.36
-138.345373,1663.16914,-2261,-0.33
-37.32975435,1846.227248,-2289,-0.33
-117.3487985,1619.157598,-2331,-0.36
-150.3458699,1658.167047,-2276,-0.32
-142.3452399,1665.1695,-2255,-0.35
381.6547195,1616.183948,-2330,-0.32
284.7087615,2296.372612,-2259,-0.34
291.7084015,2291.371532,-2226,-0.45
-107.3483161,1624.159584,-2301,-0.34
386.6562837,1635.189625,-2356,-0.32
-731.3813164,1282.025425,-2343,-0.33
291.7099315,2310.376951,-2241,-0.33
-736.3821852,1272.022212,-2366,-0.41
-113.3398958,1728.189227,-2263,-0.41
-135.3455136,1661.168726,-2277,-0.43
-122.3420785,1702.181249,-2235,-0.42
-91.33477256,1789.207977,-2257,-0.47
-117.3409834,1715.185265,-2259,-0.34
-116.3393479,1735.191083,-2289,-0.42
-221.3583997,1511.120716,-2351,-0.4
373.6549004,1619.184365,-2341,-0.37
-163.3493087,1617.154512,-2323,-0.4
-173.3501995,1607.15108,-2313,-0.41
-183.3508461,1600.148513,-2298,-0.37
293.7087358,2295.372772,-2258,-0.42
-174.3491472,1620.154777,-2336,-0.35
-184.3501197,1609.151056,-2331,-0.36
385.6541872,1609.182175,-2347,-0.38
-174.3489026,1623.155643,-2326,-0.42
-182.3521433,1584.143949,-2300,-0.45
301.7132926,2351.389135,-2266,-0.46
-130.3384729,1747.193791,-2283,-0.44
-143.3459806,1656.16685,-2273,-0.49
394.6589942,1668.199444,-2361,-0.4
-155.3431366,1692.176584,-2374,-0.29
-169.3469084,1647.162842,-2337,-0.41
-166.3467229,1649.163582,-2325,-0.31
-163.3482491,1630.158263,-2274,-0.41
-159.349523,1614.153864,-2277,-0.35
-159.3487895,1623.156461,-2237,-0.34
-160.348308,1629.158138,-2268,-0.35
93.64194329,1485.130697,-2285,-0.39
377.6534036,1600.179178,-2305,-0.42
300.7124011,2340.385949,-2248,-0.48
-148.3424331,1700.17927,-2280,-0.45
-731.3824745,1268.021327,-2337,-0.35
373.6540967,1609.18152,-2316,-0.38
-49.37095972,1340.081044,-2327,-0.38
136.6650042,1766.213536,-2304,-0.33
-51.37121983,1337.080068,-2321,-0.34
297.7109339,2322.380669,-2278,-0.46
-193.3513298,1595.146522,-2321,-0.43
-195.3505293,1605.1493,-2337,-0.39
-187.3512027,1596.147139,-2321,-0.48
-204.3542693,1560.13581,-2299,-0.4
-176.3478577,1636.159286,-2328,-0.29
-174.3478427,1636.159395,-2330,-0.49
283.7074668,2280.367999,-2254,-0.47
292.709696,2307.376145,-2273,-0.49
-171.3483093,1630.157827,-2310,-0.44
378.652929,1594.177525,-2321,-0.47
376.6536372,1603.179977,-2371,-0.47
-130.3436847,1683.17534,-2263,-0.34
-128.3438328,1681.174871,-2259,-0.45
-62.3727728,1319.074265,-2317,-0.46
378.6534112,1600.179232,-2330,-0.48
-164.3464634,1652.164556,-2322,-0.49
-185.3501273,1609.151002,-2328,-0.48
-167.3519474,1585.145059,-2339,-0.41
-140.3470171,1643.163264,-2258,-0.45
379.6543027,1611.182416,-2287,-0.48
-154.3487518,1623.156734,-2291,-0.43
-157.3500783,1607.151954,-2230,-0.4
-173.3507702,1600.14906,-2257,-0.39
-157.3494264,1615.154262,-2268,-0.45
-151.3488107,1622.156609,-2240,-0.44
147.6645178,1759.21212,-2294,-0.47
-152.3475145,1638.16117,-2253,-0.48
-148.3486251,1624.157349,-2255,-0.46
376.6528335,1593.177131,-2324,-0.38
380.6527835,1592.177066,-2319,-0.39
-169.3458487,1660.166593,-2360,-0.37
-163.3480046,1633.159128,-2262,-0.4
-217.3557566,1543.130184,-2349,-0.2
372.6540088,1608.181181,-2323,-0.45
286.709579,2306.375563,-2285,-0.46
-190.3524489,1581.142644,-2316,-0.44
-204.3543509,1559.135522,-2301,-0.33
-200.3537491,1566.137763,-2312,-0.38
-200.3529332,1576.140651,-2304,-0.32
291.7104146,2316.378662,-2300,-0.39
-201.3536751,1567.137997,-2312,-0.4
98.65525873,1649.177975,-2336,-0.47
381.6534339,1600.179396,-2303,-0.48
404.660032,1680.203397,-2363,-0.47
-126.3395838,1733.189969,-2271,-0.47
-162.3505237,1602.150238,-2243,-0.41
-143.3467952,1646.163966,-2282,-0.48
-145.3451808,1666.169626,-2270,-0.47
-699.3883248,1194.001513,-2293,-0.48
-157.387569,1147.019254,-2342,-0.48
277.7079939,2287.369698,-2236,-0.48
281.7079378,2286.369611,-2254,-0.46
281.7079378,2286.369611,-2254,-0.47
384.6536173,1602.180129,-2337,-0.45
280.7078511,2285.369276,-2259,-0.45
278.707275,2278.36718,-2277,-0.41
-184.352077,1585.144128,-2290,-0.38
378.6537326,1604.18037,-2300,-0.47
121.65001,1582.160034,-2335,-0.4
283.706903,2273.366002,-2234,-0.47
386.6557213,1628.187634,-2337,-0.44
-247.3465942,1658.161784,-2270,-0.45
