Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well A"    "Well_A_stages"            1                   6028                 6106.5                   78.5      "1"   "Well A"     -588.6292172598769      2663.339193737134      -2526.82744140625     -590.4013119864394      2741.817953502759     -2526.750537109375     -589.5280209708144      2702.578695690259     -2526.916064453125
"Well A"    "Well_A_stages"            2                   5950                 6016.5                   66.5      "2"   "Well A"     -586.2218686270644      2585.396078502759      -2525.31083984375     -588.3731137442519      2651.842855846509        -2526.705859375     -587.3958188223769      2618.612631237134     -2526.183154296875
"Well A"    "Well_A_stages"            3                   5872                 5939.5                   67.5      "3"   "Well A"     -584.2741757559706      2507.452474987134     -2523.113330078125     -585.8995419669081      2574.906576549634     -2524.966357421875     -584.9732114005019      2541.184164440259     -2523.968310546875
"Well A"    "Well_A_stages"            4                   5794                 5852.5                   58.5      "4"   "Well A"     -582.8503476309706      2429.477377330884     -2522.602099609375     -583.8624936270644      2487.960287487134     -2522.745654296875     -583.2789975333144      2458.721029674634     -2522.209033203125
"Well A"    "Well_A_stages"            5                   5716                 5782.5                   66.5      "5"   "Well A"     -580.6782895255019      2351.812582409009     -2528.348193359375     -582.6292172598769      2417.996176159009     -2523.212939453125     -581.9039364981581      2384.914389049634     -2526.212939453125
"Well A"    "Well_A_stages"            6                   5616                 5682.5                   66.5      "6"   "Well A"     -578.6644345450331      2251.860678112134     -2530.303759765625     -579.6304379630019      2318.341635143384       -2529.1892578125     -579.0849057364394      2285.100668346509     -2529.697802734375
"Well A"    "Well_A_stages"            7                   5560                 5618.5                   58.5      "7"   "Well A"     -576.0838681387831      2195.926107799634        -2529.905078125     -578.7529355215956      2254.358969127759     -2530.299853515625     -577.6898862051894      2225.128744518384     -2530.325244140625
"Well A"    "Well_A_stages"            8                   5482                 5540.5                   58.5      "8"   "Well A"     -572.3162289786269      2118.053060924634          -2528.5671875     -575.0806943106581      2176.460531627759       -2529.3298828125     -573.7185116934706      2147.259115612134       -2528.3396484375
"Well A"    "Well_A_stages"            9                   5404                 5470.5                   66.5      "9"   "Well A"     -568.7368222403456      2040.142294323072       -2529.3357421875     -571.7855282950331      2106.567465221509     -2528.784716796875     -570.3613339590956      2073.350912487134     -2529.200732421875
"Well A"    "Well_A_stages"           10                   5326                   5385                     59     "10"   "Well A"     -565.5003110098769      1962.212973034009         -2529.50078125     -567.7783261465956      2021.166952526197       -2529.2146484375     -566.5205746817519      1991.694174205884       -2529.2458984375
"Well A"    "Well_A_stages"           11                   5204                 5270.5                   66.5     "11"   "Well A"     -560.6417905020644      1840.329550182447      -2528.02763671875     -563.5606747794081      1906.749349987134      -2529.36943359375     -561.9281674551894      1873.547445690259     -2528.665087890625
"Well A"    "Well_A_stages"           12                   5104                 5170.5                   66.5     "12"   "Well A"     -558.1199399161269      1740.376181041822      -2528.83720703125     -559.4337216544081      1806.852987682447     -2528.089404296875     -558.4600278067519      1773.618856823072     -2528.366748046875
"Well A"    "Well_A_stages"           13                   5092                 5148.5                   56.5     "13"   "Well A"     -558.0769711661269      1728.382772838697            -2528.66875     -558.7564755606581      1784.864706432447      -2528.30595703125     -558.1766415762831      1756.623495494947     -2528.547900390625
"Well A"    "Well_A_stages"           14                   4992                 5058.5                   66.5     "14"   "Well A"     -555.9929867911269      1628.499227916822      -2524.67802734375     -557.6778012442519      1694.920126354322     -2527.195361328125     -556.7184506583144      1661.723226940259      -2525.58037109375
"Well A"    "Well_A_stages"           15                   4892                 4958.5                   66.5     "15"   "Well A"     -553.1274472403456      1528.572348034009          -2526.6921875     -555.1478329825331      1595.024618541822      -2525.37919921875     -554.2708188223769      1561.799398815259      -2526.31083984375
"Well A"    "Well_A_stages"           16                   4858                 4916.5                   58.5     "16"   "Well A"     -552.5035458731581      1494.591879284009     -2527.626513671875     -553.9456235098769      1553.055868541822      -2526.39482421875     -553.0429135489394      1523.824301159009      -2526.80009765625
