# WELL TRACE FROM FRACMAN
# WELL NAME:              Well A
# WELL HEAD X-COORDINATE: -25.422247 (m)
# WELL HEAD Y-COORDINATE: 14.7525238 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 910.8 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000     -25.422247      14.752524     910.800000
   11.650000     -25.422247      14.752524     899.150000
   40.200001     -25.422247      14.752524     870.599999
   69.000000     -25.599170      14.413957     841.802533
   79.099998     -25.718747      14.342590     831.703496
   88.399999     -25.843874      14.212973     822.405240
   97.599998     -26.006597      14.053288     813.208066
  107.000001     -26.221983      13.803673     803.813847
  116.299997     -26.461569      13.526013     794.521085
  125.700004     -26.716801      13.168190     785.131360
  134.999999     -27.022786      12.817186     775.843030
  144.300005     -27.364809      12.484699     766.555264
  153.599999     -27.768452      12.190142     757.268704
  181.700000     -28.996522      11.408076     729.206448
  209.599996     -30.179392      10.560287     701.344434
  237.600003     -31.388489       9.803585     673.380780
  265.599988     -32.541225       9.182900     645.411420
  293.599984     -33.282750       8.431999     617.431317
  321.599992     -33.800060       7.620295     589.447858
  349.600011     -34.646745       6.634543     561.478009
  377.599990     -35.426504       5.681863     533.505109
  405.599999     -36.226861       4.746419     505.532178
  434.699990     -37.079645       3.405753     476.475598
  463.800002     -37.972757       2.024682     447.422101
  492.999991     -39.066333       0.527762     418.281018
  520.999978     -40.028081      -0.879469     390.332959
  551.000010     -41.092667      -2.496454     360.395459
  567.000002     -41.672836      -3.302955     344.426343
  574.099976     -41.932722      -3.649847     337.339612
  602.999976     -43.244631      -4.392391     308.478955
  631.899975     -44.735581      -4.701152     279.619092
  660.800019     -46.176592      -5.126358     250.758130
  689.700003     -47.491161      -5.914358     221.898816
  718.899991     -48.833227      -6.736776     192.741284
  748.099982     -50.204897      -7.466413     163.582654
  777.100012     -51.623385      -8.020315     134.622632
  806.499974     -53.036965      -8.653528     105.263501
  835.599982     -54.392199      -9.381113      76.204175
  864.699990     -55.621506     -10.227573      47.142468
  893.699976     -56.712900     -11.346748      18.184644
  922.799977     -57.846670     -12.340686     -10.876270
  951.599976     -59.113527     -13.220520     -39.634937
  980.599980     -60.172735     -14.342561     -68.593860
 1009.499999     -61.022673     -15.593677     -97.454272
 1038.499976     -61.475439     -17.015812    -126.415820
 1067.400036     -62.162630     -18.357545    -155.276538
 1096.299960     -62.888537     -19.707395    -184.135791
 1125.200045     -63.940016     -20.745020    -212.998096
 1154.000000     -65.031500     -21.717840    -241.760913
 1183.000021     -66.237452     -22.704549    -270.719043
 1212.199954     -67.363806     -23.691640    -299.880542
 1241.200034     -68.403910     -24.660875    -328.845752
 1270.199996     -69.500723     -25.665567    -357.807544
 1299.400025     -70.904207     -27.041879    -386.941333
 1328.500025     -72.910132     -28.056024    -415.954395
 1337.940000     -73.676314     -28.355825    -425.358447
 1357.599977     -75.772074     -28.853174    -444.900073
 1386.499971     -78.939051     -28.687200    -473.625537
 1415.500005     -84.047182     -28.208837    -502.168140
 1444.299961     -88.991068     -27.855321    -530.538379
 1473.299963     -94.978567     -27.339906    -558.908862
 1502.200031    -100.631346     -27.580782    -587.249683
 1531.100057    -106.189200     -28.788526    -615.584521
 1560.100053    -111.856466     -29.907590    -644.003345
 1588.899955    -117.141874     -30.839552    -672.298755
 1617.899953    -122.450766     -30.933145    -700.808521
 1646.700044    -127.377371     -29.914690    -729.165820
 1675.699949    -130.777655     -32.565549    -757.843433
 1704.599960    -135.826857     -35.966154    -786.095020
 1733.499975    -141.947088     -38.327753    -814.240649
 1762.400001    -148.001516     -40.221613    -842.435840
 1791.299963    -154.352896     -41.654119    -870.592822
 1820.200033    -160.266806     -42.659692    -898.863452
 1849.200025    -166.172384     -43.144182    -927.251636
 1878.100059    -172.696356     -42.756586    -955.403003
 1907.200046    -179.098623     -41.256124    -983.750293
 1936.100002    -185.555609     -40.214948   -1011.900439
 1965.299961    -191.990591     -40.453157   -1040.381519
 1994.499980    -198.548788     -41.447332   -1068.818164
 2023.600019    -204.929052     -42.747732   -1097.180347
 2052.700017    -211.306036     -44.039350   -1125.543628
 2082.000026    -217.776037     -45.067571   -1154.101855
 2110.899980    -224.235785     -45.992681   -1182.255420
 2139.800024    -230.626333     -47.212900   -1210.413623
 2168.800111    -236.271887     -48.175886   -1238.842578
 2197.700092    -242.507406     -48.919427   -1267.052051
 2226.600048    -247.812292     -49.178880   -1295.459766
 2255.499965    -253.091177     -49.542459   -1323.871143
 2280.999975    -258.194296     -49.704614   -1348.854785
 2294.299992    -261.205999     -49.878793   -1361.808154
 2323.299965    -267.773657     -50.800645   -1390.039600
 2352.199978    -273.967825     -53.034349   -1418.179492
 2381.100087    -280.421927     -53.348878   -1446.347949
 2409.999899    -286.384466     -51.795755   -1474.583301
 2430.299923    -290.448645     -49.885904   -1494.380420
 2439.900074    -292.297674     -48.828241   -1503.741260
 2468.900070    -297.585821     -46.552988   -1532.164111
 2497.799881    -303.362188     -44.218008   -1560.384326
 2526.800094    -309.515326     -42.285017   -1588.658252
 2555.699907    -315.902960     -41.129942   -1616.819629
 2584.599918    -322.524267     -40.650674   -1644.946826
 2613.599945    -329.033453     -40.407442   -1673.205859
 2642.499979    -335.418799     -40.096262   -1701.389941
 2671.400032    -341.869757     -40.207738   -1729.560596
 2681.999907    -344.451147     -40.276685   -1739.841113
 2686.059988    -345.471380     -40.307321   -1743.770801
 2714.230015    -351.574926     -41.170553   -1771.258105
 2742.280046    -357.875555     -42.711141   -1798.547900
 2751.769933    -360.092322     -43.326738   -1807.754688
 2761.140052    -362.530859     -44.108263   -1816.768115
 2770.539910    -365.151739     -45.098093   -1825.740771
 2779.889913    -367.915655     -46.254831   -1834.597705
 2789.229929    -370.750982     -47.506544   -1843.408496
 2798.579996    -373.678015     -48.712381   -1852.206348
 2807.939919    -376.583044     -49.828676   -1861.033740
 2817.420072    -379.571447     -50.960878   -1869.959033
 2826.839897    -382.544104     -52.081781   -1878.826953
 2836.219921    -385.455237     -53.134454   -1887.681445
 2845.580115    -388.363287     -54.003038   -1896.535938
 2854.890040    -391.294623     -54.691118   -1905.345508
 2864.219950    -394.325354     -55.284624   -1914.149463
 2873.519953    -397.482702     -55.770586   -1922.883594
 2882.850058    -400.804937     -56.105119   -1931.595752
 2892.210022    -404.208410     -56.301363   -1940.312793
 2901.570115    -407.645361     -56.388361   -1949.018604
 2910.900017    -411.037481     -56.394281   -1957.710010
 2920.259892    -414.396399     -56.294000   -1966.445850
 2929.590071    -417.575842     -55.929498   -1975.210010
 2938.959923    -420.611975     -55.318964   -1984.053271
 2948.379893    -423.535376     -54.548204   -1992.974902
 2957.739952    -426.326544     -53.760484   -2001.874316
 2967.099928    -429.068182     -52.925424   -2010.784717
 2976.459991    -431.740149     -51.959772   -2019.703174
 2985.819949    -434.360083     -50.961412   -2028.633350
 2995.209883    -436.998022     -49.945627   -2037.587695
 3004.600017    -439.612524     -48.934152   -2046.549609
 3013.969947    -442.221716     -47.929964   -2055.492725
 3023.299988    -444.805517     -46.914781   -2064.400195
 3032.649991    -447.390997     -45.904668   -2073.328662
 3042.009999    -449.955999     -44.873018   -2082.271045
 3051.320045    -452.494970     -43.866228   -2091.171436
 3060.670042    -455.021277     -42.838342   -2100.114795
 3070.029989    -457.591040     -41.728963   -2109.046436
 3079.409914    -460.217077     -40.516676   -2117.969287
 3088.799991    -462.863806     -39.312162   -2126.897754
 3098.169896    -465.448065     -37.975473   -2135.804492
 3107.549892    -467.966345     -36.389005   -2144.699756
 3117.229935    -470.506811     -34.589593   -2153.865527
 3126.869892    -472.943884     -32.824155   -2163.023730
 3136.499969    -475.338049     -31.097433   -2172.190234
 3146.169904    -477.705938     -29.382097   -2181.407520
 3155.830051    -480.019171     -27.603891   -2190.616504
 3165.480107    -482.256476     -25.649408   -2199.797900
 3175.169991    -484.383062     -23.636282   -2209.034717
 3184.800043    -486.385229     -21.728319   -2218.259082
 3194.470000    -488.297583     -19.839185   -2227.547900
 3204.109968    -490.178686     -17.863153   -2236.793750
 3213.760108    -492.017920     -15.757764   -2246.030078
 3223.410091    -493.823431     -13.420860   -2255.217090
 3233.080106    -495.578924     -10.811370   -2264.361377
 3242.719896    -497.373419      -7.929538   -2273.383594
 3252.349968    -499.287542      -4.735050   -2282.264453
 3262.030092    -501.235174      -1.373874   -2291.130908
 3271.670019    -503.132147       1.981750   -2299.966602
 3275.430012    -503.828711       3.295106   -2303.420215
 3285.059925    -505.569708       6.639554   -2312.281299
 3294.719909    -507.428778      10.272509   -2321.036914
 3304.359979    -509.505011      14.345593   -2329.523975
 3313.999973    -511.831061      18.954415   -2337.665088
 3323.650013    -514.204779      23.989674   -2345.547656
 3333.280097    -516.550665      29.328679   -2353.211230
 3342.899945    -518.934973      34.846405   -2360.721973
 3352.529913    -521.505407      40.592715   -2368.009570
 3362.170027    -523.935858      46.483611   -2375.242969
 3371.800001    -526.254797      52.633475   -2382.281299
 3381.449924    -528.357885      59.106074   -2389.122607
 3391.119954    -530.437903      65.896758   -2395.685352
 3400.700057    -532.483221      72.941363   -2401.847217
 3410.359958    -534.446173      80.292830   -2407.798389
 3420.010043    -536.431494      87.733298   -2413.614062
 3429.660042    -538.248663      95.402487   -2419.182178
 3439.309964    -539.975287     103.321478   -2424.419482
 3448.929971    -541.460089     111.508177   -2429.248340
 3458.550039    -542.651556     119.879668   -2433.835742
 3468.179996    -543.389776     128.368460   -2438.322559
 3477.830033    -543.732672     136.759566   -2443.075977
 3487.469985    -543.894293     144.881888   -2448.265430
 3497.109946    -543.976690     152.750006   -2453.834521
 3506.779948    -544.053900     160.247626   -2459.940967
 3516.419975    -544.092657     167.653815   -2466.111621
 3526.070069    -544.092657     175.251913   -2472.060840
 3535.710063    -543.992743     183.095389   -2477.664355
 3545.360059    -543.910223     191.244482   -2482.832324
 3555.039947    -543.960333     199.688391   -2487.564990
 3564.690006    -543.756659     208.266577   -2491.980518
 3574.229954    -543.604803     216.880911   -2496.076953
 3583.819972    -543.528753     225.776709   -2499.658496
 3593.480024    -543.535162     234.940741   -2502.714160
 3603.200017    -543.505743     244.304434   -2505.321582
 3612.869967    -543.533453     253.643561   -2507.829150
 3622.510019    -543.648810     262.954398   -2510.324268
 3632.140013    -543.656927     272.269583   -2512.766406
 3641.779985    -543.731756     281.593314   -2515.214160
 3651.430008    -543.748053     290.931296   -2517.648242
 3661.080017    -543.759466     300.276419   -2520.054736
 3670.709990    -543.731756     309.610068   -2522.425098
 3680.369983    -543.573004     318.987479   -2524.739062
 3690.020021    -543.425299     328.389395   -2526.908252
 3699.660007    -543.211615     337.805655   -2528.961963
 3709.310023    -542.888678     347.243094   -2530.950244
 3718.970011    -542.613470     356.738852   -2532.702441
 3723.309998    -542.462835     361.010245   -2533.456104
 3728.619986    -542.237127     366.243308   -2534.327930
 3738.279997    -542.023687     375.796805   -2535.742480
 3747.930008    -541.913458     385.363181   -2537.005420
 3757.570002    -541.946966     394.957755   -2537.939502
 3767.229997    -542.017645     404.599570   -2538.527637
 3776.890000    -542.171087     414.258353   -2538.532764
