Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well B"    "Well_B_stages"            1                   6007                 6007.5                    0.5      "1"   "Well B"     -228.1579948292347      2696.246175864711      -2518.70927734375     -228.1755271778675      2696.745687583461      -2518.69853515625     -228.1667686329456      2696.495931724086         -2518.70390625
"Well B"    "Well_B_stages"            2                   5987                 5987.5                    0.5      "2"   "Well B"     -227.4566856251331      2676.263021567836       -2519.1384765625     -227.4742179737659      2676.762777427211        -2519.127734375      -227.465444170055      2676.513021567836      -2519.13310546875
"Well B"    "Well_B_stages"            3                   5967                 5967.5                    0.5      "3"   "Well B"     -226.6786094532581      2656.279623130336     -2519.350634765625     -226.6982322559925      2656.779134849086     -2519.345751953125     -226.6884208546253      2656.529378989711     -2519.348193359375
"Well B"    "Well_B_stages"            4                   5946                 5946.5                    0.5      "4"   "Well B"     -225.7405143604847      2635.304281333461     -2519.696826171875     -225.7656303272815      2635.803304770961     -2519.685107421875     -225.7530723438831      2635.553793052211     -2519.690966796875
"Well B"    "Well_B_stages"            5                   5926                 5926.5                    0.5      "5"   "Well B"     -224.7088981495472      2615.336752036586     -2520.176318359375     -224.7435966358753      2615.835287192836     -2520.161669921875     -224.7262473927112      2615.586019614711     -2520.168994140625
"Well B"    "Well_B_stages"            6                   5906                 5906.5                    0.5      "6"   "Well B"     -223.3213401661487      2595.393636802211     -2520.766162109375     -223.3560233936878      2595.892416099086     -2520.751513671875     -223.3386894093128      2595.642904380336     -2520.758837890625
"Well B"    "Well_B_stages"            7                   5886                 5886.5                    0.5      "7"   "Well B"     -221.6814933643909      2575.467123130336     -2521.196826171875     -221.7262779102894      2575.964925864711     -2521.188525390625     -221.7038932667347      2575.715902427211      -2521.19267578125
"Well B"    "Well_B_stages"            8                   5866                 5866.5                    0.5      "8"   "Well B"     -219.9454856739612      2555.545980552211     -2521.541064453125     -219.9822746143909      2556.044515708461      -2521.53154296875     -219.9638877735706      2555.795248130336     -2521.536181640625
"Well B"    "Well_B_stages"            9                   5846                 5846.5                    0.5      "9"   "Well B"     -218.4740501270862      2535.603841880336        -2521.928515625     -218.5108238087269      2536.102377036586            -2521.91875     -218.4924369679065      2535.853109458461       -2521.9236328125
"Well B"    "Well_B_stages"           10                   5825                 5825.5                    0.5     "10"   "Well B"     -217.0298820362659      2514.655599692836     -2522.192919921875     -217.0634513722034      2515.154378989711      -2522.18779296875     -217.0466667042347      2514.904867270961     -2522.190478515625
"Well B"    "Well_B_stages"           11                   5806                 5806.5                    0.5     "11"   "Well B"     -215.7251640186878      2495.701253989711        -2522.381640625     -215.7612663136097      2496.200033286586     -2522.377001953125     -215.7432151661487      2495.950765708461      -2522.37919921875
"Well B"    "Well_B_stages"           12                   5786                 5786.5                    0.5     "12"   "Well B"      -214.281362138805      2475.754232505336     -2522.563037109375     -214.3174491749378      2476.253011802211       -2522.5583984375     -214.2993980274769      2476.003744224086      -2522.56083984375
"Well B"    "Well_B_stages"           13                   5766                 5766.5                    0.5     "13"   "Well B"     -212.2764030323597      2455.859701255336      -2522.28349609375     -212.3291831837269      2456.356771567836       -2522.2927734375     -212.3027854786487      2456.108236411586     -2522.288134765625
"Well B"    "Well_B_stages"           14                   5746                 5746.5                    0.5     "14"   "Well B"       -210.18687971693      2435.971761802211     -2521.967333984375     -210.2382713184925      2436.469076255336     -2521.973193359375     -210.2125755177112      2436.220296958461     -2521.970263671875
"Well B"    "Well_B_stages"           15                   5726                 5726.5                    0.5     "15"   "Well B"     -208.1311698780628      2416.078939536586     -2521.730029296875     -208.1825614796253      2416.576253989711     -2521.735888671875      -208.156865678844      2416.327718833461     -2521.732958984375
"Well B"    "Well_B_stages"           16                   5706                 5706.5                    0.5     "16"   "Well B"     -206.6613822804065      2396.134359458461     -2521.867236328125     -206.6972099171253      2396.633138755336     -2521.863330078125     -206.6792960987659      2396.383627036586     -2521.865283203125
"Well B"    "Well_B_stages"           17                   5686                 5686.5                    0.5     "17"   "Well B"      -205.407353960094      2376.177572349086      -2522.18193359375     -205.4340415821644      2376.676839927211     -2522.169970703125     -205.4207054005237      2376.427084067836     -2522.175830078125
"Well B"    "Well_B_stages"           18                   5667                 5667.5                    0.5     "18"   "Well B"     -204.3933921681019      2357.210043052211     -2522.632861328125     -204.4200645313831      2357.709066489711       -2522.6208984375     -204.4067283497425      2357.459554770961       -2522.6267578125
"Well B"    "Well_B_stages"           19                   5647                 5647.5                    0.5     "19"   "Well B"     -203.3015800343128      2337.240072349086     -2522.733935546875     -203.3288932667347      2337.739339927211     -2522.731494140625     -203.3152366505237      2337.489828208461      -2522.73271484375
"Well B"    "Well_B_stages"           20                   5627                 5627.5                    0.5     "20"   "Well B"     -202.3025871143909      2317.265462974086       -2522.8259765625     -202.3256126270862      2317.764974692836     -2522.823779296875      -202.314092241344      2317.515218833461     -2522.824755859375
"Well B"    "Well_B_stages"           21                   5607                 5607.5                    0.5     "21"   "Well B"     -201.3957877979847      2297.286459067836      -2522.92216796875     -201.4150596485706      2297.785970786586       -2522.9177734375     -201.4054313526722      2297.536214927211     -2522.919970703125
"Well B"    "Well_B_stages"           22                   5589                 5589.5                    0.5     "22"   "Well B"     -200.7016960011097      2279.300619224086     -2523.085498046875     -200.7209678516956      2279.800130942836     -2523.081103515625     -200.7113242970081      2279.550375083461      -2523.08330078125
"Well B"    "Well_B_stages"           23                   5568                 5568.5                    0.5     "23"   "Well B"     -199.9604545460315      2258.314291099086      -2523.23857421875     -199.9768577442737      2258.814046958461      -2523.23564453125     -199.9686485157581      2258.564046958461        -2523.237109375
"Well B"    "Well_B_stages"           24                   5548                 5548.5                    0.5     "24"   "Well B"     -199.4494529591175      2238.324545005336     -2523.384326171875     -199.4414268360706      2238.824300864711       -2523.3767578125      -199.445439897594      2238.574300864711     -2523.380419921875
"Well B"    "Well_B_stages"           25                   5528                 5528.5                    0.5     "25"   "Well B"     -199.7705436573597      2218.329183677211           -2523.684375     -199.7625175343128      2218.829183677211     -2523.676806640625     -199.7665305958362      2218.579183677211         -2523.68046875
"Well B"    "Well_B_stages"           26                   5508                 5508.5                    0.5     "26"   "Well B"     -199.8129020557972      2198.330892661586       -2523.8181640625      -199.814824663219      2198.830892661586      -2523.81669921875     -199.8138633595081      2198.580892661586     -2523.817431640625
"Well B"    "Well_B_stages"           27                   5488                 5488.5                    0.5     "27"   "Well B"     -199.8146720753284      2178.331625083461     -2523.801318359375     -199.8079582081409      2178.831625083461      -2523.80009765625     -199.8113151417347      2178.581625083461       -2523.8005859375
"Well B"    "Well_B_stages"           28                   5468                 5468.5                    0.5     "28"   "Well B"     -200.0834403858753      2158.333334067836      -2523.84306640625     -200.0767265186878      2158.833334067836      -2523.84208984375     -200.0800834522815      2158.583334067836        -2523.842578125
"Well B"    "Well_B_stages"           29                   5448                 5448.5                    0.5     "29"   "Well B"     -200.0438438282581      2138.334554770961     -2523.729541015625     -200.0466361866565      2138.834554770961        -2523.733203125     -200.0452476368519      2138.584554770961     -2523.731494140625
"Well B"    "Well_B_stages"           30                   5428                 5428.5                    0.5     "30"   "Well B"     -200.2578941212269      2118.340658286586       -2523.6521484375     -200.2379966602894      2118.840414145961     -2523.650927734375     -200.2479453907581      2118.590658286586     -2523.651416015625
"Well B"    "Well_B_stages"           31                   5408                 5408.5                    0.5     "31"   "Well B"     -201.0535484181019      2098.356771567836      -2523.70439453125     -201.0336509571644      2098.856283286586     -2523.703173828125     -201.0435996876331      2098.606527427211         -2523.70390625
"Well B"    "Well_B_stages"           32                   5388                 5388.5                    0.5     "32"   "Well B"     -201.7319694386097      2078.369711020961     -2523.934130859375     -201.7153068409534      2078.869222739711      -2523.92802734375     -201.7236381397815      2078.619466880336     -2523.931201171875
"Well B"    "Well_B_stages"           33                   5368                 5368.5                    0.5     "33"   "Well B"      -202.411260210094      2058.384603599086     -2524.291064453125     -202.3938957081409      2058.884115317836       -2524.2791015625     -202.4025779591175      2058.634359458461       -2524.2849609375
"Well B"    "Well_B_stages"           34                   5348                 5348.5                    0.5     "34"   "Well B"     -203.0982108936878      2038.402425864711      -2524.77275390625     -203.0882011280628      2038.902181724086     -2524.764208984375     -203.0949302540394      2038.652303794399       -2524.7693359375
"Well B"    "Well_B_stages"           35                   5328                 5328.5                    0.5     "35"   "Well B"      -203.359975420055      2018.406087974086      -2525.05205078125     -203.3534293995472      2018.905965903774     -2525.044970703125     -203.3566947804065      2018.655965903774       -2525.0486328125
"Well B"    "Well_B_stages"           36                   5308                 5308.5                    0.5     "36"   "Well B"     -203.5109153614612      1998.410116294399      -2525.41044921875     -203.5092521534534      1998.910116294399     -2525.399951171875     -203.5100913868519      1998.660116294399        -2525.405078125
"Well B"    "Well_B_stages"           37                   5288                 5288.5                    0.5     "37"   "Well B"     -203.5755058155628      1978.414144614711     -2525.778857421875     -203.5741935597034      1978.914144614711      -2525.77861328125     -203.5748496876331      1978.664144614711     -2525.778857421875
"Well B"    "Well_B_stages"           38                   5268                 5268.5                    0.5     "38"   "Well B"     -203.6278587208362      1958.414144614711      -2525.78935546875     -203.6265464649769      1958.914144614711     -2525.789111328125     -203.6272025929065      1958.664144614711      -2525.78935546875
"Well B"    "Well_B_stages"           39                   5248                 5248.5                    0.5     "39"   "Well B"     -203.7911125050159      1938.416219810024       -2525.9744140625     -203.7856956348987      1938.916097739711     -2525.967822265625     -203.7884116993519      1938.666219810024      -2525.97099609375
"Well B"    "Well_B_stages"           40                   5228                 5228.5                    0.5     "40"   "Well B"     -203.8715415821644      1918.419393638149     -2526.158740234375     -203.8808799610706      1918.919271567836     -2526.161181640625     -203.8762107716175      1918.669393638149       -2526.1599609375
"Well B"    "Well_B_stages"           41                   5208                 5208.5                    0.5     "41"   "Well B"     -203.4980674610706      1898.423055747524     -2526.061083984375     -203.5074058399769      1898.923055747524     -2526.063525390625     -203.5027366505237      1898.673055747524       -2526.0623046875
"Well B"    "Well_B_stages"           42                   5188                 5188.5                    0.5     "42"   "Well B"     -203.5126701222034      1878.425863364711     -2525.813037109375     -203.5096183643909      1878.925741294399     -2525.820361328125     -203.5111442432972      1878.675863364711      -2525.81669921875
"Well B"    "Well_B_stages"           43                   5168                 5168.5                    0.5     "43"   "Well B"     -203.6993156300159      1858.429525474086      -2525.49052734375     -203.6914726124378      1858.929403403774      -2525.50029296875     -203.6953941212269      1858.679525474086      -2525.49541015625
"Well B"    "Well_B_stages"           44                   5148                 5148.5                    0.5     "44"   "Well B"     -204.0134025440784      1838.435751060024     -2525.103076171875     -204.0055442677112      1838.935628989711     -2525.112841796875     -204.0094810352894      1838.685751060024     -2525.107958984375
"Well B"    "Well_B_stages"           45                   5127                 5127.5                    0.5     "45"   "Well B"     -204.6015678272815      1817.444662192836     -2525.029833984375     -204.5868278370472      1817.944418052211     -2525.030810546875     -204.5941978321644      1817.694540122524     -2525.030322265625
"Well B"    "Well_B_stages"           46                   5107                 5107.5                    0.5     "46"   "Well B"     -205.1793723927112      1797.453085044399      -2525.05693359375     -205.1652427540394      1797.952962974086     -2525.054736328125     -205.1723075733753      1797.703085044399      -2525.05595703125
"Well B"    "Well_B_stages"           47                   5087                 5087.5                    0.5     "47"   "Well B"     -205.7414146290394      1777.461263755336     -2525.142138671875     -205.7291007862659      1777.961019614711     -2525.141162109375     -205.7352500782581      1777.711141685024     -2525.141650390625
"Well B"    "Well_B_stages"           48                   5067                 5067.5                    0.5     "48"   "Well B"     -206.2335410938831      1757.467367270961      -2525.18388671875     -206.2212272511097      1757.967123130336      -2525.18291015625     -206.2273918018909      1757.717245200649       -2525.1833984375
"Well B"    "Well_B_stages"           49                   5048                 5048.5                    0.5     "49"   "Well B"     -206.6857353077503      1738.473226645961      -2525.30595703125     -206.6741386280628      1738.973104575649     -2525.301318359375     -206.6799369679065      1738.723104575649     -2525.303759765625
"Well B"    "Well_B_stages"           50                   5028                 5028.5                    0.5     "50"   "Well B"     -207.1343437061878      1718.479208091274     -2525.463427734375      -207.126576982555      1718.979086020961      -2525.46708984375     -207.1304679737659      1718.729208091274      -2525.46513671875
"Well B"    "Well_B_stages"           51                   5008                 5008.5                    0.5     "51"   "Well B"     -207.4449973927112      1698.482137778774         -2525.31328125     -207.4372306690784      1698.982137778774     -2525.316943359375     -207.4411216602894      1698.732137778774        -2525.315234375
"Well B"    "Well_B_stages"           52                   4988                 4988.5                    0.5     "52"   "Well B"     -207.6782585011097      1678.485921958461     -2525.028857421875      -207.673451982555      1678.985799888149        -2525.037890625     -207.6758628712269      1678.735799888149     -2525.033251953125
