# WELL TRACE FROM FRACMAN
# WELL NAME:              Well B
# WELL HEAD X-COORDINATE: 0.930155195 (m)
# WELL HEAD Y-COORDINATE: -0.0226229634 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 910.8 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000       0.930155      -0.022623     910.800000
   11.650000       0.930155      -0.022623     899.150000
   40.199999       0.948776       0.028929     870.600053
   68.999996       0.838376       0.022564     841.800267
   97.599998       0.763528      -0.035683     813.200421
  125.700003       0.929352      -0.109374     785.101003
  153.599997       1.076736      -0.258102     757.201794
  163.000007       1.134890      -0.372088     747.802655
  172.300000       1.178444      -0.546903     738.504407
  181.699993       1.145341      -0.792384     729.107678
  190.999997       1.104079      -1.156794     719.814908
  200.299998       1.014743      -1.603880     710.526089
  209.599997       0.892685      -2.135106     701.242078
  237.600000       0.406849      -4.072163     673.313382
  265.600002      -0.476158      -5.847079     645.383649
  293.599985      -1.054772      -7.620495     617.445874
  321.600006      -1.971655      -9.289678     589.510693
  349.599993      -2.752909     -11.058509     561.577557
  377.599985      -3.633490     -12.641901     533.636243
  405.599998      -4.494285     -14.230593     505.694592
  409.489987      -4.614351     -14.451819     501.812756
  409.639988      -4.618961     -14.460332     501.663068
  434.699986      -5.381165     -15.871763     476.654462
  463.800005      -6.076003     -17.528765     447.609967
  492.999994      -6.942607     -19.167568     418.468884
  521.900009      -7.645455     -20.824181     389.624951
  550.999991      -8.572849     -22.427887     360.583997
  555.000014      -8.691669     -22.654686     356.592175
  570.000023      -9.323754     -23.556391     341.632642
  585.099978     -10.147702     -24.514318     326.585645
  589.640020     -10.415686     -24.805443     322.062878
  614.000003     -12.436351     -26.456983     297.843091
  642.900001     -14.893432     -28.315933     269.107800
  671.800008     -17.145370     -30.668339     240.391858
  701.099981     -19.401111     -33.009127     211.272778
  730.100009     -21.656351     -35.360048     182.456311
  759.299977     -23.484098     -37.322813     153.379773
  788.599979     -25.388380     -39.224440     124.203625
  817.799977     -27.205627     -41.013365      95.115186
  846.700027     -28.885768     -42.808176      66.319897
  868.269998     -30.108987     -44.089098      44.822766
  869.249978     -30.164476     -44.147142      43.846082
  875.899979     -30.538227     -44.535662      37.217969
  904.800008     -32.771753     -46.679781       8.484265
  933.699994     -35.117158     -48.953432     -20.230518
  962.599982     -37.322355     -51.176401     -48.960376
  991.599971     -39.604387     -53.508364     -77.776233
 1020.499976     -41.842363     -55.669554    -106.508289
 1049.399943     -43.840147     -57.681333    -135.268848
 1078.300046     -45.665155     -59.581114    -164.048633
 1107.199973     -47.493169     -61.567671    -192.822192
 1136.099944     -49.227972     -63.365995    -221.613940
 1165.099976     -50.929876     -65.081621    -250.513110
 1194.400012     -52.624796     -66.810602    -279.712939
 1207.409943     -53.338747     -67.559015    -292.681689
 1209.910028     -53.474344     -67.701952    -295.173999
 1223.299986     -54.160341     -68.447710    -308.525562
 1245.969959     -55.104330     -69.454363    -331.153491
 1247.010052     -55.147165     -69.499994    -332.191699
 1252.300054     -55.353071     -69.718042    -337.473193
 1281.500041     -56.595071     -71.446466    -366.595508
 1309.019964     -58.273618     -73.179804    -394.009448
 1309.169956     -58.282777     -73.189249    -394.158862
 1310.700014     -58.377737     -73.285883    -395.682910
 1339.600021     -60.627287     -74.969988    -424.445972
 1368.599958     -63.005575     -76.647684    -453.299487
 1397.000032     -65.256795     -78.723596    -481.533984
 1397.500027     -65.296415     -78.760286    -482.031055
 1401.620008     -65.631635     -79.060434    -486.126392
 1426.400009     -67.966024     -80.787790    -510.735645
