Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well C"    "Well_C_stages"            1       5870.60009765625                 5947.5         76.89990234375      "1"   "Well C"      51.89805608254392      2610.559360847808     -2515.531201171875      52.92290120583493      2687.448276863433     -2515.512646484375      52.62850194436032      2649.001011238433      -2515.48115234375
"Well C"    "Well_C_stages"            2        5794.2001953125                   5852          57.7998046875      "2"   "Well C"       50.6929016635986      2534.206821785308     -2517.754345703125       51.5427666233154      2591.971470222808     -2516.092236328125      51.13369374733884      2563.093784675933      -2517.13642578125
"Well C"    "Well_C_stages"            3        5717.7998046875       5775.60009765625         57.80029296875      "3"   "Well C"       49.3209763095947      2457.824009285308      -2518.56904296875      50.35052113991696      2515.611118660308     -2517.959423828125      49.82466130715329      2486.717808113433       -2518.2970703125
"Well C"    "Well_C_stages"            4       5641.39990234375        5698.7001953125         57.30029296875      "4"   "Well C"      47.41927724343259      2381.481968269683     -2520.804150390625      48.90108113747556      2438.733188972808       -2518.9689453125      48.21819692116696      2410.104526863433     -2519.830517578125
"Well C"    "Well_C_stages"            5                   5565        5622.7998046875          57.7998046875      "5"   "Well C"      45.74784856301267      2305.143589363433         -2522.46796875      46.78740315895993      2362.896763191558     -2521.165478515625      45.89437108498532      2334.013218269683      -2521.52216796875
"Well C"    "Well_C_stages"            6       5488.60009765625       5545.89990234375          57.2998046875      "6"   "Well C"      49.50374608498532      2228.932163582183     -2524.702587890625       46.2129211948486      2286.083286629058      -2523.57294921875        47.697330527124      2257.522251472808      -2525.07392578125
"Well C"    "Well_C_stages"            7        5412.2001953125                 5469.5          57.2998046875      "7"   "Well C"       52.6934013889404      2152.611118660308      -2524.09931640625      50.61958318215329      2209.869419441558         -2524.27265625      51.81209569436032      2181.246860847808            -2524.20625
"Well C"    "Well_C_stages"            8        5335.7998046875       5393.60009765625         57.80029296875      "8"   "Well C"      53.96757894020993      2076.225864754058       -2524.4064453125       53.1085510776611      2134.015903816558     -2524.077587890625      53.61721044045407      2105.121616707183         -2524.26484375
"Well C"    "Well_C_stages"            9       5259.39990234375        5317.2001953125         57.80029296875      "9"   "Well C"       52.9669838474365      1999.843174324371     -2524.506787109375        54.073551230249      2057.627231941558       -2524.2990234375      53.84846501809079      2028.729771004058     -2524.573193359375
"Well C"    "Well_C_stages"           10                   5183        5240.2998046875          57.2998046875     "10"   "Well C"      49.95707707863767      1923.505161629058     -2524.253369140625      52.29373937111814      1980.755039558746       -2524.5568359375      51.04297261696775      1952.133213386871     -2524.455517578125
"Well C"    "Well_C_stages"           11       5106.60009765625       5163.89990234375          57.2998046875     "11"   "Well C"      46.77967458229978      1847.180088386871     -2524.268994140625      49.18691640358884      1904.422397957183     -2524.025830078125       47.9086342380615      1875.803867683746      -2523.84833984375
"Well C"    "Well_C_stages"           12        5030.2001953125                 5087.5          57.2998046875     "12"   "Well C"      46.60821156960446      1770.828525886871      -2525.71357421875      46.16806798439939      1828.094395027496      -2524.68720703125      45.79305272561032      1799.447056160308     -2524.657177734375
"Well C"    "Well_C_stages"           13        4933.2001953125                 4990.5          57.2998046875     "13"   "Well C"      49.39528661232907      1673.880039558746        -2526.571484375      48.05831151467282      1731.159946785308     -2526.222119140625      48.88579183083493      1702.522739754058     -2526.247509765625
"Well C"    "Well_C_stages"           14       4877.39990234375        4934.7001953125         57.30029296875     "14"   "Well C"      50.17268758278806      1618.091587410308     -2526.570263671875      49.38062673073728      1675.379673347808       -2526.5431640625      49.72126775246579      1646.735630379058     -2526.883251953125
"Well C"    "Well_C_stages"           15       4780.39990234375        4837.7001953125         57.30029296875     "15"   "Well C"       51.5884209201904      1521.136509285308     -2524.275830078125       50.6610527561279      1578.416050300933       -2525.3263671875      51.10237508278806      1549.780430183746     -2524.597119140625
"Well C"    "Well_C_stages"           16       4724.60009765625       4781.89990234375          57.2998046875     "16"   "Well C"       51.3888245151611      1465.346470222808      -2523.81806640625      51.56250386696775      1522.636265144683     -2524.288037109375      51.61661153298337      1493.989292488433     -2524.234814453125
"Well C"    "Well_C_stages"           17        4648.2001953125                 4705.5          57.2998046875     "17"   "Well C"      50.98303990822751      1388.964390144683      -2522.37568359375      51.22755437355954      1446.253208504058     -2523.337841796875      50.97106175881345      1417.610630379058       -2522.7580078125
"Well C"    "Well_C_stages"           18        4551.2001953125                 4608.5          57.2998046875     "18"   "Well C"       52.7264938877197      1291.991489754058       -2521.8322265625      51.45538335305173      1349.267979011871      -2522.44404296875      51.95767598610837      1320.626743660308      -2522.07294921875
"Well C"    "Well_C_stages"           19        4454.2001953125                 4511.5          57.2998046875     "19"   "Well C"      56.20821385842282      1195.060337410308     -2521.811474609375      54.07188802224118      1252.316807136871     -2521.479931640625       54.9756279514404      1223.681309089996     -2521.468212890625
"Well C"    "Well_C_stages"           20        4357.2001953125                 4414.5          57.2998046875     "20"   "Well C"      59.00181966286618      1098.139683113433      -2523.06220703125      57.99314504128415      1155.404087410308     -2521.638623046875      58.61225133400876      1126.768589363433      -2522.11298828125
"Well C"    "Well_C_stages"           21       4342.60009765625       4399.89990234375          57.2998046875     "21"   "Well C"      59.17253499489743      1083.541416511871     -2523.220166015625      58.34984975319821      1140.808750496246       -2521.7404296875      58.82101445656735      1112.182407722808      -2522.71650390625
