# WELL TRACE FROM FRACMAN
# WELL NAME:              Well C
# WELL HEAD X-COORDINATE: 13.5717164 (m)
# WELL HEAD Y-COORDINATE: 7.5019878 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 910.7 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000      13.571716       7.501988     910.700000
   11.650000      13.571716       7.501988     899.050000
   68.999994      13.469320       7.611795     841.700198
   88.400003      13.296421       7.511730     822.301219
   97.600004      13.223053       7.428714     813.101886
  106.999996      13.147903       7.211695     803.704700
  116.300001      13.083702       6.916747     794.409595
  125.700001      12.889450       6.574385     785.017841
  134.999993      12.668572       6.181106     775.728793
  144.299996      12.434569       5.670942     766.445743
  153.599999      12.205667       5.084745     757.167056
  162.999999      11.993978       4.397066     747.794635
  173.620001      11.682421       3.525484     737.215045
  181.699993      11.403389       2.807582     729.171848
  209.600000      10.422283       0.117862     701.419131
  237.600006       9.347199      -2.525781     673.564944
  265.599993       8.215576      -5.261811     645.721942
  293.600000       7.157343      -7.690941     617.847583
  321.600008       6.255430     -10.264961     589.980731
  349.600008       5.373300     -12.799518     562.109637
  377.599998       4.496801     -15.377164     534.242328
  405.600010       3.797072     -17.957939     506.370288
  410.270005       3.678115     -18.387758     501.721637
  410.420013       3.674292     -18.401563     501.572314
  434.700006       2.992739     -20.626655     477.404102
  463.800010       2.079001     -23.181436     448.430865
  493.000009       1.288605     -25.834457     419.362384
  521.899988       0.389497     -28.465030     390.596423
  550.999992      -0.606367     -31.124344     361.635303
  566.000017      -1.066171     -32.505760     346.706104
  583.000017      -1.518269     -34.083450     329.785510
  612.000009      -2.420444     -36.685840     300.916614
  640.799981      -3.288900     -39.046238     272.226672
  669.699972      -4.103178     -41.339325     243.429309
  698.600019      -5.016691     -43.545829     214.628101
  727.499994      -5.895800     -45.690384     185.821216
  756.800001      -6.771795     -47.892784     156.617236
  785.799981      -7.625116     -49.898216     127.699268
  815.099983      -8.490805     -51.950584      98.484058
  844.400024      -9.466595     -53.769664      69.256824
  868.779973     -10.327381     -55.558246      44.957813
  869.030013     -10.336222     -55.576629      44.708606
  873.599996     -10.499525     -55.922413      40.154651
  902.500015     -11.549190     -58.355030      11.376331
  931.699983     -12.606501     -60.753406     -17.705762
  960.500011     -13.621468     -63.010753     -46.399243
  989.400005     -14.713526     -65.297222     -75.187939
 1018.399997     -15.824987     -67.425968    -104.088330
 1047.300029     -16.836840     -69.460765    -132.898877
 1076.300010     -17.749107     -71.974025    -161.775342
 1105.200021     -18.798496     -74.542911    -190.541821
 1134.099979     -19.804466     -76.939533    -219.324658
 1162.999969     -20.710152     -79.230533    -248.119458
 1191.799985     -21.537960     -81.531116    -276.815503
 1210.340011     -21.972374     -82.990184    -295.292920
 1210.389985     -21.973545     -82.994121    -295.342725
 1220.899964     -22.187794     -83.813114    -305.818555
 1247.310015     -21.962788     -85.854480    -332.148633
 1247.460005     -21.961487     -85.866069    -332.298169
 1250.100030     -21.930901     -86.070003    -334.930127
 1279.000046     -21.002174     -88.454517    -363.716626
 1308.099993     -19.242927     -91.275379    -392.626050
 1309.570033     -19.152832     -91.418010    -394.086377
 1309.730025     -19.143028     -91.433529    -394.245312
 1337.299987     -17.027309     -94.147380    -421.599683
 1366.400035     -14.470758     -96.554027    -450.487134
 1395.300019     -12.054644     -98.699909    -479.205884
 1402.230042     -11.488373     -99.205677    -486.094189
 1402.379992     -11.476120     -99.216625    -486.243237
 1424.300010      -9.815994    -100.728809    -508.047925
 1453.300052      -7.816133    -102.585895    -536.919263
 1460.529974      -7.330873    -103.033680    -544.118970
 1460.680014      -7.320805    -103.042972    -544.268384
 1478.400044      -6.215513    -104.045192    -561.925488
 1478.750037      -6.193726    -104.064937    -562.274243
 1482.199946      -5.982132    -104.255993    -565.712354
 1507.789941      -4.323120    -105.386844    -591.223462
 1507.840022      -4.319874    -105.389057    -591.273389
 1511.099982      -4.106848    -105.528560    -594.523389
 1539.999986      -1.610839    -106.503223    -623.298901
 1568.900010       1.042371    -106.840282    -652.074902
 1597.799952       3.152161    -106.368686    -680.893872
 1626.700007       5.372475    -105.669475    -709.700024
 1655.700032       7.788503    -104.980343    -738.591016
 1684.500020       9.927162    -104.405689    -767.305737
 1712.550048      11.896420    -103.467662    -795.270825
 1712.899984      11.920962    -103.455906    -795.619702
 1713.499946      11.962963    -103.435581    -796.217847
 1742.400020      14.074415    -101.697506    -824.988232
 1771.299989      16.798832     -99.124752    -853.644238
 1800.200000      19.239456     -96.489116    -882.320142
 1829.100004      21.209149     -93.551265    -911.002881
 1847.450042      22.370048     -91.337261    -929.181836
 1847.800001      22.392170     -91.294895    -929.528516
 1858.000018      23.009191     -89.952160    -939.620923
 1859.570051      23.102455     -89.745601    -941.174512
 1859.620012      23.105421     -89.739032    -941.223950
 1887.100051      24.212310     -86.167667    -968.448437
 1912.009975      25.060284     -83.162990    -993.161938
 1912.060052      25.061987     -83.156955    -993.211621
 1915.900043      25.188905     -82.699619    -997.022168
 1921.079963      25.358509     -82.076664   -1002.161694
 1921.130036      25.360148     -82.070644   -1002.211377
 1928.030020      25.583157     -81.230152   -1009.056348
 1928.180020      25.588004     -81.211879   -1009.205151
 1934.230047      25.781263     -80.466747   -1015.206006
 1934.280013      25.782858     -80.460598   -1015.255566
 1945.000025      26.118437     -79.113666   -1025.885327
 1973.999944      27.140267     -75.193607   -1054.600903
 2003.200000      28.185967     -71.381633   -1083.532178
 2032.399967      29.138758     -68.205822   -1112.543286
 2061.399976      30.120863     -65.089084   -1141.358594
 2090.699918      31.126051     -61.662716   -1170.440137
 2119.799879      32.176519     -57.772205   -1199.259717
 2148.700010      33.278545     -53.971576   -1227.887646
 2177.599926      34.185904     -51.016658   -1256.621777
 2188.279942      34.505682     -49.891082   -1267.237500
 2188.529983      34.513155     -49.864727   -1267.486035
