Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well D"    "Well_D_stages"            1                   5979                 6059.5                   80.5      "1"   "Well D"      320.9803637161385      2608.929862771183       -2509.6056640625      322.7086962356698      2689.407890114933     -2509.602490234375       322.132341255201      2649.163261208683     -2509.600537109375
"Well D"    "Well_D_stages"            2                   5899                 5959.5                   60.5      "2"   "Well D"      319.1304491653573      2528.951591286808     -2509.587841796875      320.5063952102792      2589.435722146183     -2509.595654296875      319.7586840286385      2559.194999489933     -2509.583447265625
"Well D"    "Well_D_stages"            3                   5819                 5879.5                   60.5      "3"   "Well D"      320.0545824661385      2448.977958474308       -2509.9064453125      318.7697313919198      2509.455009255558     -2509.598095703125      318.9380663528573      2479.205985818058     -2509.617138671875
"Well D"    "Well_D_stages"            4                   5739                 5799.5                   60.5      "4"   "Well D"      323.7306383743417      2369.065604958683     -2510.589794921875       320.918718208326      2429.497978005558     -2510.083447265625      322.2709826126229      2399.279228005558      -2510.33466796875
"Well D"    "Well_D_stages"            5                   5659                 5719.5                   60.5      "5"   "Well D"      327.3587206497323      2289.151298318058      -2511.27607421875      324.6675585403573      2349.588798318058     -2510.741650390625      326.0813768997323      2319.372733864933      -2510.99287109375
"Well D"    "Well_D_stages"            6                   5579                 5639.5                   60.5      "6"   "Well D"      327.7705858841073      2209.164726052433         -2511.78828125      327.8809679641854      2269.661552224308              -2511.425      327.9306505813729      2239.412528786808     -2511.557080078125
"Well D"    "Well_D_stages"            7                   5499                 5559.5                   60.5      "7"   "Well D"      326.5658739700448      2129.203056130558     -2512.836376953125      327.8289660110604      2189.666679177433     -2512.069775390625      327.8860949173104      2159.420829568058       -2512.4455078125
"Well D"    "Well_D_stages"            8                   5419                 5479.5                   60.5      "8"   "Well D"      320.7581347122323      2049.420463357121      -2513.78486328125      325.2464464798104      2109.749442849308       -2513.0880859375      323.0834215774667      2079.579032693058       -2513.4416015625
"Well D"    "Well_D_stages"            9                   5339                 5399.5                   60.5      "9"   "Well D"      314.7673205032479      1969.707450661808     -2516.875927734375      319.1939562454354      2029.996269021183     -2514.457958984375      316.8953112259042      1999.857963357121           -2515.659375
"Well D"    "Well_D_stages"           10                   5259                 5319.5                   60.5     "10"   "Well D"      312.0128344192635      1889.808158669621     -2518.922314453125      313.5558947219979      1950.255668435246      -2517.44013671875      312.3113268509042      1920.042045388371      -2518.02021484375
"Well D"    "Well_D_stages"           11                   5179                 5239.5                   60.5     "11"   "Well D"      314.0638598098885      1809.856132302433     -2519.017529296875      312.0945604934823      1870.318168435246       -2519.4865234375      313.0370043411385      1840.083305153996     -2519.464306640625
"Well D"    "Well_D_stages"           12                   5099                   5159                     60     "12"   "Well D"      316.0204027786385      1729.891288552433         -2519.00703125      314.1895311966073      1789.858329568058      -2518.74873046875      314.8309801712167      1759.866996560246      -2518.89716796875
"Well D"    "Well_D_stages"           13                   5019                   5079                     60     "13"   "Well D"       320.438249458326      1650.024955544621     -2519.622021484375      317.2168749466073      1709.930228982121     -2519.327587890625      318.9938524856698      1679.986503396183     -2519.777294921875
"Well D"    "Well_D_stages"           14                   4939                   4999                     60     "14"   "Well D"       320.906022895826      1570.047172341496         -2519.21015625      320.9251574173104      1630.037528786808     -2519.244091796875      321.0612658157479      1600.044242653996     -2519.025341796875
"Well D"    "Well_D_stages"           15                   4859                   4919                     60     "15"   "Well D"      319.9014452591073      1490.066825661808     -2519.938916015625      320.6290453567635      1550.050468239933     -2519.177197265625      319.8837145462167      1520.064384255558        -2519.591015625
"Well D"    "Well_D_stages"           16                   4779                   4839                     60     "16"   "Well D"      323.3252428665292      1410.180473122746        -2520.758984375      320.1073778762948      1470.070121560246     -2520.239208984375      321.0637072219979      1440.093559060246      -2520.91181640625
"Well D"    "Well_D_stages"           17                   4699                   4759                     60     "17"   "Well D"      326.9532946243417      1330.274711403996     -2520.617138671875      324.6053026809823      1390.223563943058     -2520.469189453125      325.9723375930917      1360.257987771183     -2520.447216796875
"Well D"    "Well_D_stages"           18                   4619                   4679                     60     "18"   "Well D"       328.226091255201      1250.290580544621     -2520.818798828125      327.2153185501229      1310.278251443058     -2520.721630859375      327.5489977493417      1280.281303200871     -2520.898876953125
"Well D"    "Well_D_stages"           19                   4479                   4539                     60     "19"   "Well D"      326.5970629348885      1110.367973122746     -2522.096142578125      328.9053209915292      1170.312431130558     -2521.132275390625      327.7072313919198      1140.338432107121         -2521.43671875
"Well D"    "Well_D_stages"           20                   4459                   4519                     60     "20"   "Well D"      326.1976183548104      1090.382499489933     -2522.653759765625       328.144548286451      1150.327323708683      -2521.26142578125      326.8499926223885      1120.360404763371     -2521.801220703125
