# WELL TRACE FROM FRACMAN
# WELL NAME:              Well D
# WELL HEAD X-COORDINATE: 19.8270739 (m)
# WELL HEAD Y-COORDINATE: 11.1532514 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 910.7 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000      19.827074      11.153251     910.700000
   11.650000      19.827074      11.153251     899.050000
   40.200001      19.782309      11.230974     870.500140
   69.000002      19.701790      11.306772     841.700351
   79.000004      19.649166      11.294197     831.700496
   88.399997      19.654158      11.210676     822.300876
   97.599998      19.693821      11.022133     813.102893
  106.999998      19.744959      10.749667     803.706981
  116.300004      19.829188      10.404408     794.413768
  125.700002      19.926249      10.012791     785.022433
  135.000007      20.143751       9.584628     775.734836
  144.299995      20.377789       9.132156     766.448810
  153.599999      20.694064       8.637420     757.167361
  162.999993      21.036502       8.032656     747.793094
  172.299998      21.406614       7.375813     738.523700
  181.699995      21.839423       6.680206     729.159473
  209.600004      23.025945       4.563251     701.365207
  237.600006      24.260153       2.301432     673.484012
  265.599991      25.531094       0.076846     645.601489
  293.600002      26.720532      -2.054023     617.708026
  321.600008      27.759082      -4.127054     589.804187
  349.599987      28.879536      -6.078737     561.894794
  377.599985      29.846783      -8.056626     533.981494
  405.600012      30.732037      -9.938742     506.058826
  434.700012      31.743111     -11.739718     477.032214
  463.799992      32.648045     -13.539763     448.002063
  493.000000      33.769775     -15.664614     418.901080
  521.899984      34.722342     -17.876450     390.101611
  556.999983      35.921793     -20.423104     355.114673
  572.000004      36.386337     -21.510109     340.161304
  584.099998      36.729814     -22.386112     328.097949
  613.000010      37.602037     -24.511757     299.289417
  641.900005      38.273033     -26.487313     270.464832
  670.799984      38.851620     -29.477810     241.725818
  699.700027      39.373318     -32.575424     212.996997
  729.000006      40.615744     -35.535374     183.873401
  758.000010      41.789194     -38.520458     155.051318
  787.199986      42.876314     -41.448326     126.018848
  816.599993      43.875221     -44.332997      96.777759
  845.800018      45.405233     -47.285950      67.767749
  874.700001      46.888178     -50.055111      39.038989
  903.800030      48.297994     -52.795963      10.102649
  932.699978      49.679640     -55.544251     -18.633130
  961.599979      51.176863     -58.156433     -47.375867
  990.600018      52.472708     -60.773773     -76.228467
 1019.499996      53.622156     -63.144127    -105.008130
 1048.399973      54.976309     -65.799515    -133.753979
 1077.299978      56.646021     -69.013848    -162.426099
 1106.200052      58.503313     -72.998635    -190.989819
 1135.100035      60.567396     -77.463677    -219.468091
 1163.999992      62.744737     -82.384079    -247.862744
 1192.999958      65.668745     -87.221710    -276.306470
 1222.300001      68.507482     -91.874130    -305.095166
 1251.200020      70.854326     -95.877426    -333.620190
 1280.200008      73.566149     -99.551628    -362.258374
 1309.500050      76.097040    -103.312317    -391.205640
 1338.600018      78.020178    -107.438378    -419.947339
 1367.500036      79.890810    -112.068352    -448.412671
 1396.500044      81.742433    -116.264565    -477.047681
 1425.399975      83.007402    -120.610131    -505.591016
 1454.299982      84.550127    -125.775215    -533.983838
 1483.199980      86.096132    -130.324394    -562.481641
 1512.199972      87.577371    -134.320122    -591.166821
 1541.100000      89.679796    -138.546166    -619.678784
 1569.999989      91.984850    -142.964714    -648.145825
 1598.899996      94.591349    -147.615135    -676.549878
 1627.800020      97.677065    -152.053246    -704.939893
 1656.700026     100.610185    -156.798668    -733.296338
 1685.599998     102.762560    -160.672081    -761.854565
 1714.600029     105.135324    -164.432686    -790.511670
 1743.499939     107.743570    -168.644280    -818.983838
 1772.400003     111.019075    -172.743035    -847.403638
 1782.000030     112.158975    -174.080986    -856.841382
 1791.600060     113.310572    -175.413246    -866.278516
 1801.300035     114.568193    -176.704689    -875.809521
 1810.900060     115.925981    -177.985100    -885.226392
 1820.599995     117.474718    -179.248223    -894.718213
 1830.200001     119.226869    -180.355889    -904.091748
 1839.799989     121.087198    -181.288689    -913.463452
 1849.499970     123.073603    -182.077965    -922.925000
 1859.200023     125.111406    -182.671929    -932.389966
 1868.800001     127.157633    -183.085640    -941.760205
 1888.099989     131.600397    -183.542397    -960.536328
 1917.100046     137.802835    -183.587868    -988.865308
 1946.100048     143.657221    -183.448876   -1017.267896
 1975.399971     149.392748    -183.193444   -1045.999829
 2004.599939     155.213259    -183.083718   -1074.613599
 2033.600014     161.562044    -182.355873   -1102.900830
 2062.800005     167.611666    -180.784569   -1131.424023
 2092.000057     173.011400    -179.294197   -1160.081738
 2120.900061     178.326540    -177.488915   -1188.431348
 2149.799944     183.219698    -175.637017   -1216.853711
 2178.700079     187.300890    -174.215798   -1245.428906
 2207.699949     191.296877    -172.544243   -1274.103467
 2236.600077     195.255739    -171.049111   -1302.692090
 2246.199993     196.597414    -170.515740   -1312.182812
 2265.399916     199.691271    -169.318199   -1331.093945
 2294.300089     204.557207    -167.506645   -1359.523877
 2323.299925     208.933306    -165.829445   -1388.142529
 2352.199999     213.047319    -164.555947   -1416.719922
 2381.100046     216.805483    -163.285332   -1445.346387
 2411.200085     220.516680    -161.995857   -1475.188916
 2440.100069     224.293306    -160.369377   -1503.794873
 2449.800056     225.615969    -159.671135   -1513.378857
 2459.399930     226.981737    -158.848549   -1522.845410
 2469.100032     228.419954    -157.900215   -1532.391309
 2478.700068     229.894884    -156.811211   -1541.814648
 2488.400009     231.370851    -155.579735   -1551.322217
 2497.999960     232.770388    -154.274193   -1560.729443
 2526.999971     236.340547    -149.226280   -1589.062695
 2555.899937     239.774279    -144.349632   -1617.340527
 2584.799988     243.211656    -139.331352   -1645.593213
 2613.699913     246.514589    -134.538109   -1673.900830
 2642.700035     250.247621    -129.092262   -1702.139355
 2671.600002     253.900865    -123.649513   -1730.286084
 2700.600035     257.248400    -118.539787   -1758.635449
 2729.500013     260.538133    -113.767479   -1786.948193
 2758.400042     263.623766    -109.149513   -1815.309521
 2787.299927     266.506868    -104.783699   -1843.731885
 2816.200029     269.247682    -100.704941   -1872.211133
 2845.199898     271.808596     -97.075966   -1900.868848
 2874.199995     274.541139     -93.170586   -1929.474561
 2902.999975     277.736254     -88.621025   -1957.732861
 2931.999950     281.094499     -83.902481   -1986.148633
 2960.999964     284.461412     -79.183998   -2014.563428
 2989.900101     287.882616     -74.328720   -2042.846631
 3018.799921     290.828539     -69.074845   -2071.111768
 3047.699957     293.778368     -63.626076   -2099.339795
 3076.600069     296.638170     -57.521027   -2127.442578
 3105.500019     299.377062     -50.775986   -2155.410596
 3134.500078     301.850939     -43.282536   -2183.316357
 3163.299919     303.468187     -35.693550   -2211.051221
 3183.000010     304.569597     -30.725384   -2230.082715
 3202.000006     305.633318     -26.121567   -2248.485791
 3211.000086     306.137255     -23.983040   -2257.213574
 3220.700035     306.610063     -21.564114   -2266.595166
 3230.299931     306.950182     -18.883171   -2275.806836
 3239.999940     307.199877     -15.570175   -2284.920117
 3249.600112     307.316789     -11.890511   -2293.786328
 3259.199965     307.403276      -8.078917   -2302.596631
 3268.900105     307.497545      -4.302458   -2311.530957
 3278.600089     307.479448      -0.459532   -2320.437207
 3288.200106     307.403398       3.574057   -2329.148389
 3297.899902     307.377550       7.930815   -2337.814648
 3307.499998     307.400316      12.425891   -2346.297314
 3317.199944     307.570452      17.110642   -2354.789258
 3326.799945     307.888689      22.140865   -2362.959668
 3336.499921     308.110521      27.592794   -2370.979443
 3346.099913     308.378343      33.292810   -2378.699414
 3355.700089     308.656114      39.034090   -2386.388623
 3365.299911     308.928392      44.702724   -2394.131299
 3374.999949     309.130083      50.421264   -2401.963818
 3384.600086     309.311724      56.266571   -2409.577100
 3394.300071     309.460222      62.299106   -2417.171582
 3403.900049     309.592485      68.459411   -2424.533154
 3413.500046     309.804766      74.791839   -2431.745313
 3423.200080     310.068560      81.330971   -2438.904980
 3432.799987     310.330950      88.008934   -2445.796582
 3442.499942     310.532488      94.963592   -2452.555371
 3452.100000     310.752764     102.214287   -2458.843457
 3461.699976     310.871660     109.782379   -2464.748486
 3471.399999     311.078112     117.719658   -2470.320508
 3481.000022     311.155321     125.762306   -2475.561719
 3490.599999     311.175341     133.951111   -2480.571973
 3500.300048     311.286516     142.332130   -2485.454297
 3509.900013     311.449083     150.647697   -2490.248486
 3519.599959     311.663561     159.063118   -2495.067578
 3529.200057     311.690142     167.523628   -2499.604199
 3538.900004     311.700823     176.257393   -2503.824414
 3548.500045     311.710008     185.039650   -2507.701611
 3558.199971     311.775804     194.015190   -2511.379102
 3567.900027     311.947039     203.098732   -2514.777783
 3577.500031     312.110887     212.211723   -2517.792188
 3587.000031     312.467790     221.335792   -2520.414014
 3596.599970     312.883104     230.661262   -2522.654980
 3606.300015     313.457323     240.158562   -2524.542432
 3616.000014     314.009905     249.713157   -2526.121777
 3625.700007     314.541704     259.315223   -2527.389600
 3635.300008     315.114427     268.842766   -2528.418164
 3652.099999     315.934557     285.611534   -2529.030957
 3680.999991     317.960558     314.440147   -2528.904736
 3710.000016     319.992540     343.353905   -2527.973584
 3738.000010     322.783129     371.213463   -2527.734082
 3767.900010     327.764208     400.694664   -2527.494092
 3787.200004     331.175005     419.689110   -2527.234814
 3796.800000     332.742418     429.157036   -2526.986768
 3806.499989     333.778002     438.799553   -2526.788770
 3816.199986     334.160509     448.491508   -2526.690625
 3825.900006     334.231615     458.189445   -2526.502637
 3835.499993     334.258409     467.781395   -2526.110791
 3852.999993     333.757585     485.273735   -2525.979443
 3881.999999     332.381456     514.239586   -2525.685986
 3910.199981     330.502733     542.376579   -2525.548291
 3940.000010     328.299486     572.094902   -2525.454785
 3968.899989     325.710558     600.876457   -2525.096631
 3997.900004     322.659136     629.715141   -2524.955029
 4026.899978     320.636400     658.641655   -2524.550244
 4055.799985     319.098894     687.497001   -2525.014355
 4084.799979     318.623155     716.492668   -2525.171338
 4113.699992     318.996385     745.389457   -2524.954541
 4142.699975     319.699846     774.380302   -2524.767285
 4171.699994     320.453905     803.370170   -2524.908887
 4200.700027     320.884111     832.366997   -2524.878613
 4229.600013     321.726335     861.254692   -2524.848340
 4258.600024     323.041857     890.224846   -2524.863477
 4287.499972     325.243700     919.037529   -2524.429639
 4316.299994     326.861315     947.790397   -2524.118115
 4345.200019     328.408831     976.644462   -2523.608594
 4374.199986     328.869341    1005.637504   -2523.173291
 4403.100015     328.314562    1034.530876   -2523.450635
 4432.100011     326.948625    1063.495415   -2523.015332
 4460.999997     326.141771    1092.381523   -2522.626904
 4490.000041     326.875292    1121.359672   -2521.771680
 4518.900052     328.140734    1150.227470   -2521.262158
 4547.900039     329.243852    1179.205864   -2521.074902
 4576.900010     329.269152    1208.205009   -2520.857373
 4605.899993     328.575823    1237.196098   -2520.670117
 4634.799972     327.804247    1266.083916   -2520.997998
 4663.699998     327.284746    1294.978569   -2520.796338
 4692.499955     327.154070    1323.777885   -2520.655713
 4721.399995     326.261431    1352.663627   -2520.484326
 4750.300040     325.162126    1381.542412   -2520.343213
 4779.100032     323.318834    1410.280327   -2520.760449
 4808.099952     321.094011    1439.194267   -2520.932568
 4836.700057     320.131060    1467.770561   -2520.273633
 4865.499995     319.834520    1496.565727   -2519.841260
 4894.400010     319.895037    1525.464042   -2519.533643
 4923.200036     320.754351    1554.248222   -2519.116406
 4952.099946     321.031755    1583.146293   -2519.287793
 4980.999963     321.082201    1612.042778   -2518.838818
 5009.999993     320.829210    1641.034355   -2519.491650
 5039.000020     319.569445    1670.003959   -2519.911816
 5067.900035     317.905992    1698.853447   -2519.523389
 5096.800006     316.111772    1727.693168   -2519.013867
 5125.800019     314.907488    1756.668022   -2518.922803
 5154.699958     314.216539    1785.558769   -2518.690869
 5183.599988     314.034960    1814.455620   -2519.079297
 5212.599946     312.906664    1843.430351   -2519.514600
 5241.499974     312.034197    1872.317192   -2519.484326
 5270.400029     311.998918    1901.202324   -2518.556348
 5299.400002     312.479540    1930.186577   -2517.731396
 5328.299975     314.027147    1959.042045   -2517.312695
 5357.300059     316.033251    1987.948417   -2516.128613
 5386.099990     318.110826    2016.651054   -2514.997998
 5415.099996     320.454882    2045.532524   -2513.829053
 5444.099952     322.709856    2074.442802   -2513.499951
 5473.100093     324.813433    2103.364677   -2513.170850
 5502.000037     326.768846    2132.195976   -2512.797559
 5530.900043     327.953752    2161.069267   -2512.424268
 5559.900104     327.827227    2190.066826   -2512.064893
 5588.799993     327.741503    2218.963554   -2511.646191
 5617.800044     328.009752    2247.962089   -2511.519727
 5646.800097     327.837664    2276.961357   -2511.393262
 5675.699929     326.703112    2305.837578   -2511.115918
 5704.699931     325.372454    2334.805839   -2510.852734
 5733.799939     323.986467    2363.872001   -2510.634229
 5762.700006     322.564684    2392.736015   -2510.387158
 5791.700080     321.264360    2421.705986   -2510.154248
 5820.699981     319.979235    2450.676201   -2509.891064
 5849.599931     318.925310    2479.555595   -2509.613721
 5878.400033     318.749376    2508.355156   -2509.598584
 5907.400117     319.285845    2537.350273   -2509.583447
 5936.299951     319.911241    2566.243339   -2509.583447
 5965.299977     320.655199    2595.233818   -2509.598584
 5994.199967     321.341112    2624.125664   -2509.613721
 6023.200036     322.257097    2653.111259   -2509.598584
 6052.099929     322.700945    2682.007744   -2509.598584
 6081.099948     322.731310    2711.007744   -2509.613721
 6110.100087     324.026628    2739.978935   -2509.598584
 6129.999925     324.637804    2759.869316   -2509.546582
 6149.999890     325.332292    2779.857109   -2509.480176
