,run,p32,min_length,total_length,num_lineaments,clusters
40,40,0.001,150.0,1995.66,5,1
70,70,0.001,300.0,3217.7790000000005,6,1
50,50,0.001,200.0,4946.156,10,2
60,60,0.001,250.0,4090.117,10,2
30,30,0.001,100.0,3671.336,10,2
90,90,0.001,500.0,4946.156,10,2
80,80,0.001,400.0,5243.085999999999,11,2
0,0,0.001,25.0,3899.4162,13,2
20,20,0.001,75.0,8612.065,21,3
10,10,0.001,50.0,5820.4756,22,4
91,91,0.002,500.0,43151.326,66,9
81,81,0.002,400.0,41104.619999999995,67,9
31,31,0.002,100.0,25176.091,68,8
61,61,0.002,250.0,35470.132,75,11
71,71,0.002,300.0,40897.37500000001,76,10
41,41,0.002,150.0,37313.998,93,14
21,21,0.002,75.0,34407.4665,96,12
11,11,0.002,50.0,30422.854400000004,96,13
1,1,0.002,25.0,28293.6121,110,14
51,51,0.002,200.0,52188.058000000005,113,15
82,82,0.003,400.0,107546.3625,182,17
72,72,0.003,300.0,97881.6758,194,19
92,92,0.003,500.0,133119.82900000003,205,15
62,62,0.003,250.0,100844.69919999999,215,18
52,52,0.003,200.0,105753.57500000001,235,19
42,42,0.003,150.0,93151.3749,238,24
32,32,0.003,100.0,89653.5936,285,32
22,22,0.003,75.0,94868.64839999999,296,29
93,93,0.004,500.0,199490.5539,313,12
83,83,0.004,400.0,198554.8678,352,15
12,12,0.003,50.0,96149.46100000001,354,34
73,73,0.004,300.0,189629.44780000002,377,18
2,2,0.003,25.0,87509.2326,384,45
63,63,0.004,250.0,186939.7439,410,21
53,53,0.004,200.0,180381.74560000002,424,22
94,94,0.005,500.0,264044.6749,426,5
84,84,0.005,400.0,265071.6568,483,10
43,43,0.004,150.0,177656.57299999997,492,32
74,74,0.005,300.0,262250.59349999996,540,14
95,95,0.006,500.0,332804.8571,540,2
33,33,0.004,100.0,164177.80969999998,554,40
23,23,0.004,75.0,161388.0331,572,43
64,64,0.005,250.0,265307.0354,598,13
85,85,0.006,400.0,331518.8188,606,7
54,54,0.005,200.0,262849.9988,638,24
96,96,0.007,500.0,391643.0015,642,2
44,44,0.005,150.0,249768.7954,689,26
75,75,0.006,300.0,334206.31169999996,699,10
86,86,0.007,400.0,388413.1176,715,5
3,3,0.004,25.0,151090.7366,718,55
13,13,0.004,50.0,177171.2505,719,44
97,97,0.008,500.0,446540.3108,731,3
65,65,0.006,250.0,338415.5133,777,8
98,98,0.009,500.0,506420.4737,830,1
76,76,0.007,300.0,400746.009,837,4
87,87,0.008,400.0,457805.7596,840,2
34,34,0.005,100.0,236432.04859999998,840,43
55,55,0.006,200.0,345348.0758,860,18
24,24,0.005,75.0,247961.93589999998,907,50
99,99,0.01,500.0,559371.2383,914,1
88,88,0.009,400.0,514870.1436,951,1
66,66,0.007,250.0,413499.4699,960,5
77,77,0.008,300.0,463728.6206,965,6
45,45,0.006,150.0,336889.1275,968,20
14,14,0.005,50.0,240419.2114,1038,49
56,56,0.007,200.0,419002.255,1066,12
89,89,0.01,400.0,577811.2424999999,1068,1
78,78,0.009,300.0,531392.9737000001,1124,2
67,67,0.008,250.0,489075.5548,1147,5
35,35,0.006,100.0,319924.34770000004,1171,38
4,4,0.005,25.0,228247.7023,1198,56
46,46,0.007,150.0,415652.721,1237,17
57,57,0.008,200.0,488093.18817,1265,5
79,79,0.01,300.0,594065.5390999999,1267,1
25,25,0.006,75.0,326039.8713,1282,40
68,68,0.009,250.0,558471.9758,1315,2
15,15,0.006,50.0,314325.8192,1434,48
58,58,0.009,200.0,558646.782,1461,4
69,69,0.01,250.0,625113.2905,1493,2
47,47,0.008,150.0,495182.3634,1505,12
36,36,0.007,100.0,413514.8362,1566,31
59,59,0.01,200.0,630575.1816,1674,3
26,26,0.007,75.0,412151.76028,1706,29
48,48,0.009,150.0,572045.6880999999,1781,7
5,5,0.006,25.0,317995.55000000005,1811,56
37,37,0.008,100.0,498669.39840000006,1931,20
16,16,0.007,50.0,404901.3795,1970,55
49,49,0.01,150.0,663087.9012000001,2089,7
27,27,0.008,75.0,501756.1498,2157,26
38,38,0.009,100.0,585678.4062,2301,9
6,6,0.007,25.0,403024.5911,2462,65
17,17,0.008,50.0,501041.63729999994,2542,41
28,28,0.009,75.0,595466.2328000001,2636,16
39,39,0.01,100.0,671635.2366,2678,6
29,29,0.01,75.0,688122.3169,3136,12
7,7,0.008,25.0,487713.0316,3149,57
18,18,0.009,50.0,599118.058,3187,30
19,19,0.01,50.0,697988.2235000001,3846,32
8,8,0.009,25.0,582919.10036,3983,56
9,9,0.01,25.0,677088.66816,4768,43
