X[m],Y[m],Z[m],Magnitude
940.3369999,-737.0549939,-79.88988281,3.01
1037.2615,-701.1959939,-89.88988281,2.08
816.8060999,-650.1379939,-139.8898828,1.34
1143.8176,-648.5939939,-99.88988281,1.74
824.9488999,-650.2769939,-109.8898828,1.36
916.1368999,-610.0689939,-89.88988281,1.11
911.3511999,-604.3449939,-99.88988281,1.83
736.3724999,-691.7209939,50.11011719,1.04
809.7761999,-666.2239939,-109.8898828,1.18
1002.7909,-718.3189939,-89.88988281,1.14
1082.1467,-514.1119939,-99.88988281,1.29
822.6878999,-656.7119939,-89.88988281,1.04
1224.0736,-455.1559939,-119.8898828,1.29
829.0958999,-652.3479939,-109.8898828,1.29
847.6163999,-642.1799939,-109.8898828,1.31
917.2679999,-422.8559939,-99.88988281,1.67
860.9779999,-632.9849939,-99.88988281,1.48
885.4061999,-618.4709939,-109.8898828,1.13
915.1703999,-610.9969939,-69.88988281,1.97
978.0154999,-385.5779939,-99.88988281,1.58
967.8283999,-588.1739939,-89.88988281,1.09
968.5499999,-391.8409939,-89.88988281,1.33
976.3982999,-397.4489939,-79.88988281,1.07
956.6900999,-589.9319939,-79.88988281,1.12
1359.4847,-316.7829939,-169.8898828,1.67
1317.922,-323.3699939,-179.8898828,1.06
972.1649999,-865.4249939,-79.88988281,1.91
1373.5319,-297.6449939,-159.8898828,1.15
1462.8923,-250.8099939,-149.8898828,1.66
1063.8928,-758.2349939,-79.88988281,1.25
1099.0943,-745.5409939,-99.88988281,1.87
1192.8496,-625.9049939,-139.8898828,1.02
1193.1839,-674.4679939,-119.8898828,1.24
1236.8853,-605.1879939,-129.8898828,1.81
1283.055,-586.2839939,-149.8898828,1.62
1365.4621,-515.9829939,-139.8898828,1.47
1280.9495,-583.5779939,-139.8898828,1.16
1273.0895,-592.5659939,-129.8898828,1.16
1334.4771,-530.8599939,-139.8898828,1.24
1310.1791,-575.2299939,-139.8898828,1.06
1344.0371,-689.1489939,-69.88988281,1.22
1350.9887,-523.8849939,-129.8898828,1.18
1362.1544,-549.3089939,-139.8898828,1.2
1365.6615,-762.6419939,-139.8898828,1.76
1400.9081,-496.5929939,-129.8898828,1.12
1389.9429,-502.9129939,-139.8898828,1.27
1336.928,-689.8629939,-129.8898828,1.1
1341.9238,-687.8919939,-129.8898828,1.38
1334.3146,-688.6249939,-109.8898828,1.61
1450.7188,-479.6649939,-159.8898828,1.87
1393.753,-577.0799939,-159.8898828,1.05
1388.6404,-670.1909939,-129.8898828,1.94
1398.6047,-569.6549939,-149.8898828,1.03
1399.4881,-660.7559939,-119.8898828,1.32
1571.2678,-421.6189939,-159.8898828,1.16
1413.1009,-656.5639939,-119.8898828,1.35
1423.9229,-486.1389939,-129.8898828,1.64
1415.257,-660.6039939,-149.8898828,1.28
1439.09,-483.3369939,-169.8898828,2.18
1476.6444,-465.0909939,-159.8898828,1.59
1552.7828,-431.0099939,-169.8898828,1.82
1503.5868,-450.9229939,-159.8898828,1.53
1540.3396,-439.6149939,-149.8898828,1.58
1367.8881,-755.3159939,-109.8898828,1.14
1424.1764,-734.1329939,-129.8898828,1.3
1630.899,-396.2959939,-159.8898828,1.5
1522.8285,-446.6289939,-149.8898828,1.32
1449.1878,-721.8209939,-129.8898828,1.69
1457.6286,-716.5999939,-129.8898828,1.84
1532.1787,-680.1279939,-149.8898828,1.99
1566.7598,-423.2379939,-139.8898828,1.24
1651.4126,-385.9359939,-149.8898828,1.54
852.9655999,-798.8439939,-39.88988281,0.02
753.1582999,-691.9789939,-109.8898828,0.37
859.2170999,-639.4019939,-99.88988281,0.08
762.6918999,-687.4969939,-99.88988281,0.06
841.7298999,-648.7519939,-89.88988281,0.37
771.2172999,-684.5019939,-99.88988281,0.38
909.5541999,-420.8069939,-79.88988281,0.21
916.5116999,-416.0879939,-99.88988281,0.41
930.5783999,-412.3259939,-69.88988281,0.33
1051.2739,-694.3159939,-79.88988281,0.12
936.5185999,-596.1529939,-89.88988281,0.34
1051.0851,-526.9839939,-89.88988281,0.21
964.0259999,-581.9679939,-89.88988281,0.16
968.1225999,-582.7039939,-79.88988281,0.06
1067.7818,-685.5599939,-79.88988281,0.27
1010.3925,-758.8079939,-49.88988281,0.09
805.1794999,-665.5059939,-109.8898828,0.32
1037.0648,-775.5149939,-79.88988281,0.43
804.6794999,-665.5249939,-109.8898828,0.21
704.9548999,-857.9049939,-99.88988281,0.44
703.9425999,-859.2799939,-99.88988281,0.17
822.2213999,-657.6209939,-89.88988281,0.17
1049.3504,-737.8399939,-19.88988281,0.42
824.1376999,-655.3209939,-99.88988281,0.16
827.7005999,-655.1859939,-109.8898828,0
837.5619999,-646.1239939,-109.8898828,0.45
936.3087999,-414.8949939,-69.88988281,0.24
913.7247999,-612.4999939,-89.88988281,0.07
915.1703999,-610.9969939,-89.88988281,0.04
920.2959999,-610.8029939,-89.88988281,0.26
931.3335999,-606.3759939,-79.88988281,0.19
1040.4309,-771.8229939,-79.88988281,0.01
961.8195999,-402.5669939,-69.88988281,0.17
939.7200999,-599.7089939,-79.88988281,0.05
960.8580999,-592.5599939,-89.88988281,0.11
1031.3515,-355.9329939,-69.88988281,0.44
1016.3429,-848.3809939,-79.88988281,0.43
1275.0076,-347.1649939,-159.8898828,0.45
937.8313999,-886.2179939,-89.88988281,0.24
1281.4098,-341.0179939,-149.8898828,0.35
1339.3854,-311.6389939,-139.8898828,0.33
1352.0013,-307.5959939,-139.8898828,0.09
1397.4656,-285.0399939,-149.8898828,0.34
1386.463,-290.3589939,-159.8898828,0.18
1359.0045,-304.0999939,-139.8898828,0.01
1370.4524,-297.3159939,-129.8898828,0.18
1191.0833,-673.5449939,-119.8898828,0.41
1122.0943,-734.6449939,-79.88988281,0.43
1288.9177,-714.7429939,-119.8898828,0.41
1233.4678,-648.8799939,-69.88988281,0.1
1179.9375,-620.4889939,-49.88988281,0.31
1307.3582,-704.1289939,-129.8898828,0.44
1303.925,-706.0419939,-139.8898828,0.2
1313.085,-706.5859939,-139.8898828,0.43
1311.5006,-704.4179939,-139.8898828,0.46
1313.5851,-706.5669939,-139.8898828,0.09
1313.3788,-701.1159939,-139.8898828,0.09
1213.1597,-623.3549939,-129.8898828,0.18
1169.0334,-683.0689939,-99.88988281,0.45
1165.1934,-689.1189939,-109.8898828,0.34
1210.0127,-621.2449939,-119.8898828,0.07
1161.5967,-688.3639939,-99.88988281,0.28
1198.0746,-669.7149939,-99.88988281,0.45
1216.4996,-617.3239939,-109.8898828,0.17
1221.945,-613.9979939,-109.8898828,0.35
1250.7792,-783.8129939,-109.8898828,0.02
1279.3737,-636.2239939,-49.88988281,0.34
1253.2155,-646.3499939,-99.88988281,0.25
1246.3338,-787.0999939,-109.8898828,0.39
1236.9183,-794.6979939,-109.8898828,0.19
1309.3934,-569.3549939,-119.8898828,0.2
1382.4519,-506.7609939,-159.8898828,0.21
1265.2916,-776.9129939,-109.8898828,0.09
1353.5074,-549.0799939,-129.8898828,0.28
1342.846,-523.7469939,-139.8898828,0.41
1248.8799,-786.5579939,-109.8898828,0.01
1356.9524,-545.8299939,-129.8898828,0.11
1349.8496,-520.2509939,-109.8898828,0.08
1373.4531,-512.1159939,-159.8898828,0.42
1357.5704,-548.9259939,-129.8898828,0.31
1353.8114,-517.4269939,-119.8898828,0.01
1241.8379,-789.0529939,-99.88988281,0.04
1350.2991,-518.8969939,-119.8898828,0.38
1361.3262,-676.2389939,-69.88988281,0.17
1259.8293,-779.7939939,-99.88988281,0.1
1361.2307,-511.6869939,-119.8898828,0.3
1333.1277,-764.7639939,-39.88988281,0.09
1243.7878,-787.6419939,-99.88988281,0.11
1246.2833,-785.7649939,-89.88988281,0.04
1244.3503,-787.6209939,-99.88988281,0.06
1304.6683,-699.2169939,-49.88988281,0.36
1333.0544,-695.0239939,-129.8898828,0.08
1324.8658,-695.3329939,-109.8898828,0.12
1350.8514,-680.6459939,-79.88988281,0.15
1400.3113,-575.0489939,-179.8898828,0.06
1445.8263,-646.2999939,-129.8898828,0.2
1439.369,-651.0009939,-159.8898828,0.23
1436.3322,-584.0459939,-129.8898828,0.31
1393.9803,-664.0839939,-99.88988281,0.03
1380.4637,-669.1639939,-89.88988281,0.13
1403.5174,-659.7119939,-99.88988281,0.1
1408.2937,-489.9619939,-99.88988281,0.27
1421.4732,-487.5689939,-119.8898828,0.37
1435.4935,-482.5819939,-109.8898828,0.28
1467.5447,-467.7749939,-99.88988281,0.26
1619.985,-403.9509939,-139.8898828,0.26
1596.3655,-411.6429939,-149.8898828,0.46
1605.3351,-407.1809939,-139.8898828,0.05
1375.3049,-762.7219939,-169.8898828,0.09
1439.0057,-481.1119939,-109.8898828,0.16
1369.6067,-759.3729939,-129.8898828,0.43
1362.9428,-758.6219939,-89.88988281,0.19
1452.101,-476.4929939,-119.8898828,0.11
1278.952,-787.2029939,-49.88988281,0.03
1301.7633,-784.5569939,-69.88988281,0.03
1574.2225,-661.3769939,-169.8898828,0.21
1355.3335,-759.3559939,-69.88988281,0.14
1442.1502,-724.4279939,-109.8898828,0.13
1391.9334,-743.9319939,-69.88988281,0
1469.3852,-717.9369939,-109.8898828,0.4
1395.0848,-746.1529939,-99.88988281,0.31
1580.0001,-665.1689939,-169.8898828,0.19
1581.2093,-657.4359939,-149.8898828,0.16
1480.3705,-698.9149939,-89.88988281,0.42
1416.5502,-734.4219939,-59.88988281,0.2
1478.6611,-706.6669939,-99.88988281,0.19
1470.2076,-711.5549939,-99.88988281,0.15
1468.0943,-710.2979939,-89.88988281,0.12
1470.1917,-469.9029939,-139.8898828,0.06
1557.2233,-427.6109939,-139.8898828,0.33
1599.8439,-409.2829939,-159.8898828,0.38
1656.3742,-383.0739939,-149.8898828,0.1
