Well          IntervalSet        Index                 MD_Top[m]              MD_Bottom[m]                 Length[m]  Interval  ParentWell                  X_Top[m]                  Y_Top[m]                  Z_Top[m]               X_Bottom[m]               Y_Bottom[m]               Z_Bottom[m]               X_Center[m]               Y_Center[m]               Z_Center[m]
"Well 4"    "Well_4_stages"            1      2508.056884765625               2540.625        32.568115234375     "35"   "Well 4"      350.1704064178048      28.74049255345017      -214.922607421875      378.5986595916329      12.85272094700485        -214.7783203125      364.4034081267891      20.83177062962204        -214.7783203125
"Well 4"    "Well_4_stages"            2               2545.625          2569.53515625            23.91015625     "34"   "Well 4"      382.9604454803048      10.40859863255173       -214.78955078125      403.9046898650704     -1.119874267838895           -215.1484375      393.4325524138985      4.644346923567355      -214.968994140625
"Well 4"    "Well_4_stages"            3          2574.53515625      2598.445068359375        23.909912109375     "33"   "Well 4"      408.2791710662423      -3.54055908229202      -215.205322265625      429.1464196013985     -15.21243408229202       -215.30126953125      418.7127953338204      -9.37649658229202       -215.25341796875
"Well 4"    "Well_4_stages"            4      2603.445068359375       2627.35498046875        23.909912109375     "32"   "Well 4"       433.510799484211      -17.6521008303389      -215.319580078125      454.3842125701485     -29.31305053737015       -215.39892578125      443.9475060271798     -23.48257568385452            -215.359375
"Well 4"    "Well_4_stages"            5       2632.35498046875       2656.27001953125          23.9150390625     "31"   "Well 4"      458.7571984099923     -31.73703125026077       -215.42919921875      479.6914025115548      -43.2980969240889        -215.6044921875      469.2243004607735      -37.5175793459639      -215.516845703125
"Well 4"    "Well_4_stages"            6       2661.27001953125       2685.18994140625           23.919921875     "30"   "Well 4"      484.1212425994454     -45.61627319362015      -215.618896484375      505.3585167693673     -56.62249877955765        -215.6669921875      494.7394676971016      -51.1202404787764      -215.643798828125
"Well 4"    "Well_4_stages"            7       2690.18994140625      2714.114990234375        23.925048828125     "29"   "Well 4"      509.8228417205391     -58.87368896510452       -215.62158203125      531.1849022674141     -69.64468505885452      -215.392333984375      520.5037499236641      -64.2596447756514      -215.512939453125
"Well 4"    "Well_4_stages"            8      2719.114990234375        2743.5751953125        24.460205078125     "28"   "Well 4"      535.6504784392891      -71.8916027834639        -215.2919921875      557.5027733611641     -82.87042358424515      -214.799560546875      546.5733300017891     -77.38760498072952      -215.046630859375
"Well 4"    "Well_4_stages"            9        2748.5751953125      2773.780029296875        25.204833984375     "27"   "Well 4"      561.9815331267891     -85.09079101588577      -214.695556640625      584.5925560760079      -96.2131359865889      -214.156494140625      573.2701683806954     -90.68716552760452      -214.433837890625
"Well 4"    "Well_4_stages"           10      2778.780029296875               2803.875        25.094970703125     "26"   "Well 4"      589.1072045135079      -98.3587658694014        -214.0361328125      611.7615013885079     -109.1412976076826        -213.5458984375      600.4366112517891     -103.7432263186201       -213.73388671875
"Well 4"    "Well_4_stages"           11               2808.875        2833.6650390625          24.7900390625     "25"   "Well 4"      616.2727928924141     -111.2969677736983       -213.50927734375      638.6316796111641     -122.0007031252608      -213.282470703125      627.4563256072579     -116.6408093264326      -213.418212890625
"Well 4"    "Well_4_stages"           12        2838.6650390625      2864.135009765625        25.469970703125     "24"   "Well 4"      643.1382714080391     -124.1656811526045        -213.2197265625      666.1338768767891     -135.1127941897139       -213.10888671875      654.6164208221016     -129.6798718264326        -213.0595703125
"Well 4"    "Well_4_stages"           13      2869.135009765625      2895.094970703125          25.9599609375     "23"   "Well 4"      670.6582909392891     -137.2408459475264       -213.14111328125      694.1033592986641     -148.3841564944014       -213.38916015625      682.4004174041329     -142.7720349123701      -213.230712890625
"Well 4"    "Well_4_stages"           14      2900.094970703125      2932.264892578125           32.169921875     "22"   "Well 4"      698.6114159392891     -150.5459912111983      -213.450439453125      727.6125756072579     -164.4579479983076      -213.985107421875      713.1126976775704     -157.5014660647139        -213.6904296875
"Well 4"    "Well_4_stages"           15      2937.264892578125       2975.81005859375        38.545166015625     "21"   "Well 4"      732.1216698455391     -166.6165173342451       -214.07568359375      767.3145409392891     -182.3305371096358         -214.572265625      749.7062035369454     -174.5009167483076      -214.304443359375
"Well 4"    "Well_4_stages"           16       2980.81005859375      3018.614990234375        37.804931640625     "20"   "Well 4"      771.8877220916329     -184.3504040529951       -214.64990234375      806.4229393767891     -199.7252819826826       -214.97509765625      789.1656761931954      -192.012971191667      -214.876220703125
"Well 4"    "Well_4_stages"           17      3023.614990234375      3061.385009765625         37.77001953125     "19"   "Well 4"      810.9745140838204     -201.7944042971358       -214.97216796875      845.2995262908516     -217.5512097170576      -214.711181640625      828.1147728728829     -209.7215893557295      -214.850341796875
"Well 4"    "Well_4_stages"           18      3066.385009765625       3105.22021484375        38.835205078125     "18"   "Well 4"      849.8556786346016     -219.6103222658858            -214.671875      885.3938866424141     -235.2518322756514      -214.004150390625      867.5959130096016      -227.498566894792       -214.40771484375
"Well 4"    "Well_4_stages"           19       3110.22021484375      3149.815185546875        39.594970703125     "17"   "Well 4"      889.9940453338204     -237.2044995119795      -213.844482421875      926.2892723846016     -252.9816296389326       -212.69580078125      908.2084008025704     -244.9360363772139      -213.212158203125
"Well 4"    "Well_4_stages"           20      3154.815185546875      3194.719970703125         39.90478515625     "16"   "Well 4"      930.8491478728829     -255.0289929201826      -212.571044921875      967.2270775603829     -271.3887951662764      -213.408447265625      949.0284081267891     -263.2302258303389      -212.838623046875
"Well 4"    "Well_4_stages"           21      3199.719970703125      3239.010009765625          39.2900390625     "15"   "Well 4"      971.8058129119454     -273.3948986819014        -213.5087890625      1007.530971603352     -289.7137463381514      -214.407470703125      989.7714501189766     -281.3302624514326      -213.913818359375
"Well 4"    "Well_4_stages"           22      3244.010009765625       3282.93994140625        38.929931640625     "14"   "Well 4"      1012.051052169758     -291.8475354006514      -214.532958984375      1047.014858322102     -308.9635632326826      -214.716552734375      1029.533046798664     -300.4046643069014          -214.69921875
"Well 4"    "Well_4_stages"           23       3287.93994140625       3326.93505859375          38.9951171875     "13"   "Well 4"      1051.507534103352     -311.1577160647139      -214.687744140625      1086.527309493977     -328.3102429201826       -214.67236328125      1069.022548751789     -319.7233898928389      -214.624755859375
"Well 4"    "Well_4_stages"           24       3331.93505859375      3370.635009765625        38.699951171875     "12"   "Well 4"      1091.048549728352     -330.4439099123701        -214.6630859375      1126.315151290852     -346.3781140139326      -214.567626953125      1108.670009689289     -338.4373181154951         -214.544921875
"Well 4"    "Well_4_stages"           25      3375.635009765625                 3414.5        38.864990234375     "11"   "Well 4"      1130.877529220539     -348.4237683108076       -214.59033203125      1166.450893478352     -364.0587170412764      -214.009521484375      1148.644130783039     -356.2897351076826      -214.429931640625
"Well 4"    "Well_4_stages"           26                 3419.5      3458.675048828125        39.175048828125     "10"   "Well 4"      1171.054042892414     -366.0050061037764      -213.856689453125      1207.155239181477     -381.1295178225264      -212.294189453125      1189.086757736164     -373.6297619631514      -213.258544921875
"Well 4"    "Well_4_stages"           27      3463.675048828125      3502.610107421875         38.93505859375      "9"   "Well 4"      1211.768764572102     -383.0395520022139          -212.03515625      1247.634853439289     -398.0706188967451        -210.1689453125      1229.720546798664     -390.5051281740889          -211.04296875
"Well 4"    "Well_4_stages"           28      3507.610107421875      3546.650146484375          39.0400390625      "8"   "Well 4"      1252.212001876789     -400.0779431154951       -210.02587890625      1287.614223556477     -416.4993298342451        -209.4677734375      1270.056362228352     -407.9699108889326        -209.5087890625
"Well 4"    "Well_4_stages"           29      3551.650146484375       3590.85009765625        39.199951171875      "7"   "Well 4"      1292.111538009602     -418.6841442873701      -209.457275390625      1327.064540939289     -436.4013073733076       -210.40478515625      1309.582607345539     -427.5511486819014        -209.9580078125
"Well 4"    "Well_4_stages"           30       3595.85009765625        3635.0048828125         39.15478515625      "6"   "Well 4"      1331.532314376789     -438.6444714358076       -210.48583984375      1366.605068283039     -456.0454724123701        -210.8779296875      1349.045497970539     -447.3898937990889         -210.748046875
"Well 4"    "Well_4_stages"           31        3640.0048828125      3678.534912109375        38.530029296875      "5"   "Well 4"      1371.113246993977     -458.2071545412764      -210.902099609375      1405.916957931477     -474.7259533694014         -211.205078125      1388.588832931477     -466.3153088381514        -210.9560546875
