# WELL TRACE FROM FRACMAN
# WELL NAME:              Well 4
# WELL HEAD X-COORDINATE: 11.6599999 (m)
# WELL HEAD Y-COORDINATE: 261.570006 (m)
# WELL DATUM (KB, Kelly bushing, from MSL): 2066.62012 (m)
# WELL TYPE:              UNDEFINED
# MD AND TVD ARE REFERENCED (=0) AT WELL DATUM AND INCREASE DOWNWARDS
# XYZ TRACE IS GIVEN IN COORDINATE SYSTEM <Undefined>
# DEPTH (Z, tvd_z) GIVEN IN m-UNITS
# MD IS NOT EXACT (TRACE WAS NOT IMPORTED WITH MD-DATA)
#======================================================================================================================================
      MD              X              Y             Z           
#======================================================================================================================================
    0.000000      11.660000     261.570006    2066.620117
    6.000000      11.660000     261.570006    2060.620117
   43.169998      11.752371     261.218658    2023.451893
   71.609999      11.824923     260.883942    1995.013954
  100.049997      13.232918     260.502717    1966.611389
  128.480000      15.990655     260.919786    1938.318527
  156.420000      18.701714     261.323989    1910.513306
  184.409998      21.141806     261.999769    1882.638062
  212.469997      24.304436     263.033476    1854.776031
  240.489994      27.407006     264.138252    1826.950256
  268.510014      30.716278     264.604518    1799.130249
  296.549988      33.704685     265.063410    1771.253754
  324.560009      36.209480     265.606339    1743.361237
  352.609985      38.124603     266.132054    1715.381653
  380.650009      39.806328     266.182848    1687.392151
  408.620014      41.604719     265.505085    1659.488251
  436.640003      42.808807     264.843952    1631.501953
  464.699989      43.497761     264.022307    1603.462463
  492.690002      43.405348     263.020430    1575.490540
  520.640026      43.295616     262.203471    1547.552673
  548.600010      43.277384     261.686548    1519.597473
  576.629999      43.271622     261.319692    1491.569885
  603.999979      43.225838     261.007762    1464.201721
  624.000029      43.156658     260.924553    1444.201965
  630.269986      43.131809     260.913108    1437.932068
  658.330027      42.980063     260.917798    1409.872437
  686.350001      42.950821     260.920238    1381.852478
  714.369975      42.927784     260.938411    1353.832520
  742.409997      42.862829     261.075514    1325.792908
  770.420025      42.708752     261.408206    1297.785278
  798.469971      42.606613     261.730186    1269.737366
  826.510005      42.416073     262.077781    1241.700134
  854.480002      42.040121     262.433300    1213.734924
  882.500002      41.982189     261.608973    1185.727112
  910.560009      41.975578     261.026263    1157.673157
  938.549990      42.075890     260.548181    1129.687439
  966.500006      42.040455     260.366229    1101.738037
  994.459994      41.879099     260.183206    1073.779114
 1022.489995      41.714157     260.044902    1045.749939
 1050.499976      41.671959     259.962156    1017.740112
 1078.540020      41.630442     259.780882     989.700684
 1106.570019      41.672285     259.539883     961.671753
 1134.619942      41.817482     259.307339     933.623169
 1162.630042      41.881693     259.071493     905.614136
 1190.619954      41.862188     258.921314     877.624634
 1218.700032      41.862188     258.921314     849.544556
 1246.680056      41.783609     258.791921     821.564941
 1274.680050      41.581104     258.975993     793.566284
 1302.690045      41.289730     259.075753     765.557983
 1330.739941      41.132063     259.262989     737.509155
 1358.730004      40.581520     259.302936     709.524536
 1386.679993      40.739761     259.987265     681.583374
 1414.710034      40.870827     260.739007     653.563721
 1442.730038      40.957872     261.531268     625.555054
 1470.769949      40.965111     262.328833     597.526489
 1498.750008      41.004284     262.692980     569.548828
 1526.710043      41.148020     262.997467     541.590820
 1554.760050      41.355473     263.264048     513.542847
 1582.800047      41.394518     263.599454     485.504883
 1610.850054      41.506720     263.918066     457.456909
 1638.879948      41.880009     264.186598     429.430786
 1666.880005      42.392346     264.461656     401.436768
 1694.890007      42.406027     264.065923     373.429565
 1722.940047      42.352738     263.608849     345.383301
 1750.969979      43.157999     263.554517     317.364990
 1779.030005      44.060127     263.737729     289.320068
 1807.039969      44.601936     263.845305     261.315552
 1835.010027      44.319801     263.101402     233.356812
 1853.659956      44.064812     262.570388     214.716187
 1862.990057      43.921600     262.372550     205.389282
 1872.310061      43.845505     262.194579     196.071289
 1875.999941      43.854035     262.058990     192.383911
 1881.679975      43.958702     261.696365     186.716431
 1891.019986      44.567276     260.690700     177.450684
 1900.369992      45.487450     259.245201     168.259033
 1909.710057      46.546825     257.361273     159.172485
 1919.059970      47.668388     255.068842     150.177612
 1928.400004      48.815624     252.346328     141.317139
 1937.750018      50.156506     249.202679     132.614136
 1947.140041      51.618488     245.794903     123.987305
 1956.470051      53.142757     242.177649     115.523193
 1965.820030      54.680851     238.318473     107.146851
 1975.170012      56.445770     234.557606      98.770508
 1984.519958      58.348496     231.307997      90.212402
